meeting_date,positive_chunk_count,negative_chunk_count,neutral_chunk_count,avg_positive_score,avg_negative_score,avg_neutral_score,net_sentiment_score,final_sentiment_label
2020-09-16,70,39,229,0.24538309603499678,0.14984069750561604,0.6047762036543979,0.09554239852938073,Positive
2020-11-05,58,35,170,0.24907560651137461,0.15853665970591652,0.5923877314667965,0.0905389468054581,Positive
2020-12-16,64,54,247,0.22573851011821056,0.16663953954838726,0.607621947104392,0.0590989705698233,Positive
2021-01-27,54,46,237,0.2136754543860429,0.1655571769607925,0.620767366749066,0.048118277425250405,Positive
2021-03-17,67,47,260,0.22619281021036447,0.15518448804131643,0.6186227029348839,0.07100832216904804,Positive
2021-04-28,60,45,196,0.24262714246752057,0.17771713993824598,0.5796557192217274,0.06491000252927459,Positive
2021-06-16,73,45,223,0.24985551833013986,0.1617601399577586,0.5883843432729545,0.08809537837238127,Positive
2021-07-28,54,47,236,0.20899987451245772,0.18499063023639628,0.606009500477054,0.024009244276061437,Positive
2021-09-22,53,36,210,0.2139677026411861,0.15037058744218237,0.6356617080820195,0.06359711519900374,Positive
2021-11-03,42,44,214,0.1825486584395791,0.1905090323680391,0.6269423065831264,-0.007960373928459996,Neutral
2021-12-15,46,52,243,0.18859113176569037,0.17687154409975425,0.6345373222391364,0.011719587665936115,Neutral
2022-01-26,61,49,231,0.2212755239645123,0.17996593500157038,0.5987585419870891,0.04130958896294193,Positive
2022-03-16,64,45,181,0.25229553094069507,0.17945217935625335,0.5682522894654037,0.07284335158444172,Positive
2022-05-04,48,50,209,0.20544033985985413,0.2001103349303044,0.5944493245181752,0.005330004929549742,Neutral
2022-06-15,53,58,200,0.22198245475829317,0.20707724535975522,0.5709402989626075,0.014905209398537955,Neutral
2022-07-27,64,74,212,0.21505485094019344,0.23773450302226204,0.5472106472163328,-0.022679652082068597,Negative
2022-09-21,49,51,119,0.2454315072189183,0.24409578155011755,0.5104727063362049,0.0013357256688007468,Neutral
2022-11-02,43,50,159,0.2088340567387936,0.21476635699796062,0.5763995864221619,-0.005932300259167023,Neutral
2022-12-14,59,65,159,0.2253632259986268,0.2391987656746652,0.535438004960125,-0.0138355396760384,Neutral
2023-02-01,49,43,164,0.22805144943413325,0.19870544361765496,0.5732431078358786,0.029346005816478282,Positive
2023-03-22,45,33,126,0.23843118954249018,0.18398562355387008,0.5775831860818845,0.054445565988620104,Positive
2023-05-03,30,44,222,0.1614432582770147,0.17925600384399798,0.6593007377122302,-0.017812745566983285,Negative
2023-06-14,43,42,207,0.19213169091859553,0.17862241085912164,0.6292458987692754,0.013509280059473883,Neutral
2023-07-26,47,52,172,0.23585333613974363,0.1944590979719679,0.569687564867614,0.04139423816777574,Positive
2023-09-20,50,40,215,0.2171924655829541,0.1770484395019832,0.6057590948204037,0.040144026080970896,Positive
2023-11-01,45,45,186,0.19819913438075912,0.20374903879195883,0.598051824276268,-0.0055499044111997076,Neutral
2023-12-13,49,35,174,0.21404372406184904,0.18434473261410414,0.6016115451794725,0.029698991447744905,Positive
2024-01-31,53,56,189,0.22737033263273887,0.21114966606771285,0.561480001552693,0.01622066656502602,Positive
2024-03-20,45,42,142,0.22945534794156208,0.20460560774292358,0.5659390425138728,0.024849740198638504,Positive
2024-05-01,44,44,186,0.21042696291743948,0.1956848869351738,0.5938881501269928,0.014742075982265679,Neutral
2024-06-12,73,46,200,0.24901520818191636,0.17690881978440154,0.5740759710030963,0.07210638839751482,Positive
2024-07-31,46,38,202,0.21090395275789958,0.16976822822491502,0.6193278188283158,0.04113572453298456,Positive
2024-09-18,54,47,182,0.23269731729610596,0.18674675118204456,0.5805559336559932,0.0459505661140614,Positive
2024-11-07,44,32,177,0.21166062126812257,0.15935012981251412,0.6289892513157704,0.052310491455608454,Positive
2024-12-18,73,65,192,0.25117631289035536,0.21890425466452584,0.5299194312908433,0.032272058225829514,Positive
2025-01-29,45,30,211,0.2092048410567214,0.1536679165535509,0.637127242663263,0.05553692450317052,Positive
2025-03-19,39,38,240,0.18192010171482287,0.17342917745997571,0.644650721396628,0.008490924254847154,Neutral
2025-05-07,40,51,217,0.1806662096490769,0.1905012595672886,0.6288325300186195,-0.009835049918211713,Neutral
2025-06-18,44,48,250,0.18850273130412556,0.1714154435430615,0.6400818242037898,0.01708728776106405,Positive
2025-07-30,34,35,190,0.1884661575304668,0.1762169685617492,0.6353168764608305,0.0122491889687176,Neutral
