date,equity
2024-07-31,102321.85743750492
2024-09-18,107709.69818363135
2024-11-07,109367.19767571318
2024-12-18,109384.89886477438
2025-01-29,101540.565630613
2025-03-19,101060.3258817665
2025-05-07,107636.57376215937
2025-06-18,114544.91467320207
