"meeting_date","paragraph_text"
"2020-11-05","good afternoon. at the federal reserve, we are strongly committed to achieving the monetary policy goals that congress has given usmaximum employment and price stability. since the beginning of the pandemic, we have taken forceful actions to provide relief and stability, to ensure that the recovery will be as strong as possible, and to limit lasting damage to the economy. today my colleagues on the federal open market committee and i reaffirmed our commitment to support the economy in this challenging time. economic activity has continued to recover from its depressed second-quarter level. the reopening of the economy led to a rapid rebound in activity, and real gdp rose at an annual rate of 33 percent in the third quarter. in recent months, however, the pace of improvement has moderated. household spending on goods, especially durable goods, has been strong and has moved above its pre-pandemic level. in contrast, spending on services remains low, largely due to ongoing weakness in sectors that typically require people to gather closely, including travel and hospitality. the overall rebound in household spending owes, in part, to federal stimulus payments and expanded unemployment benefits, which provided essential support to many families and individuals. the housing sector has fully recovered from the downturn, supported in part by low mortgage interest rates. business investment has also picked up. even so, overall economic activity remains well below its level before the pandemic, and the path ahead remains highly uncertain. in the labor market, roughly half of the 22 million jobs that were lost in march and april have been regained, as many people were able to return to work. as with overall economic activity, the pace of improvement in the labor market has moderated. the unemployment rate declined over the past five months but remained elevated at 7. 9 percent as of september. although we welcome this progress, we will not lose sight of the millions of americans who remain out of work. the economic downturn has not fallen equally on all americans, and those least able to shoulder the burden have been hardest hit. in particular, the high level of joblessness has been especially severe for lower-wage workers in the services sector, for women, and for african americans and hispanics. the economic dislocation has upended many lives and created great uncertainty about the future. the pandemic has also left a significant imprint on inflation. following large declines in the spring, consumer prices picked up over the summer, in part reflecting a rise in durable goods prices. however, for those sectors that have been most affected by the pandemic, prices remain particularly soft. overall, on a 12-month basis, inflation remains below our 2 percent longer-run objective. as we have emphasized throughout the pandemic, the outlook for the economy is extraordinarily uncertain and will depend in large part on the success of efforts to keep the virus in check. the recent rise in new covid-19 cases, both here in the united states and abroad, is particularly concerning. all of us have a role to play in our nations response to the pandemic. following the advice of public health professionals to keep appropriate social distances and to wear masks in public will help get the economy back to full strength. a full economic recovery is unlikely until people are confident that its safe to reengage in a broad range of activities. the federal reserves response to this crisis has been guided by our mandate to promote maximum employment and stable prices for the american people, along with our responsibilities to promote the stability of the financial system. as noted in our statement on longer-run goals and monetary policy strategy, we view maximum employment as a broad-based and inclusive goal. our ability to achieve maximum employment in the years ahead depends importantly on having longer-term inflation expectations well anchored at 2 percent. as we said in september and again today, with inflation running persistently below 2 percent, we will aim to achieve inflation moderately above 2 percent for some time so that inflation averages 2 percent over time and longer-term inflation expectations remain well anchored at 2 percent. we expect to maintain an accommodative stance of monetary policy until these employment and inflation outcomes are achieved. with regard to interest rates, we continue to expect that it will be appropriate to maintain the current 0 to ¼ percent target range for the federal funds rate until labor market conditions have reached levels consistent with the committees assessments of maximum employment and inflation has risen to 2 percent and is on track to moderately exceed 2 percent for some time. in addition, over coming months we will continue to increase our holdings of treasury securities and agency mortgage-backed securities at least at the current pace. these asset purchases are intended to sustain smooth market functioning and help foster accommodative financial conditions, thereby supporting the flow of credit to households and businesses. at this meeting, my colleagues and i discussed our asset purchases and the role they are playing in supporting the recovery. at the current pace, our holdings of securities are rising at a substantial rate of $120 billion per month$80 billion per month of treasuries and $40 billion per month of agency mbs. we believe these purchases, along with the very large purchases made to preserve financial stability in the depths of the crisis, have materially eased financial conditions and are providing substantial support to the economy. looking ahead, we will continue to monitor developments and assess how our ongoing asset purchases can best support our maximum- employment and price-stability objectives as well as market functioning and financial stability. the federal reserve has also been taking broad and forceful actions to more directly support the flow of credit in the economy for households, for businesses large and small, and for state and local governments. preserving the flow of credit is essential for mitigating damage to the economy and promoting a robust recovery. many of our programs rely on emergency lending powers that require the support of the treasury department and are available only in very unusual circumstances, such as those we find ourselves in today. these programs serve as a backstop to key credit markets and have helped to restore the flow of credit from private lenders through normal channels. we have deployed these lending powers to an unprecedented extent, enabled in large part by financial backing and support from congress and the treasury. when the time comes, after the crisis has passed, we will put these emergency tools back in the toolbox. as i have emphasized before, these are lending powers, not spending powers. the fed cannot grant money to particular beneficiaries. we can only create programs or facilities with broad-based eligibility to make loans to solvent entities with the expectation that the loans will be repaid. many borrowers are benefiting from these programs, as is the overall economy. but for many others, getting a loan that may be difficult to repay may not be the answer. in these cases, direct fiscal support may be needed. elected officials have the power to tax and spend and to make decisions about where we, as a society, should direct our collective resources. the fiscal policy actions that have been taken thus far have made a critical difference to families, businesses, and communities across the country. even so, the current economic downturn is the most severe in our lifetimes. it will take a while to get back to the levels of economic activity and employment that prevailed at the beginning of this year, and it may take continued support from both monetary and fiscal policy to achieve that. id like to mention a couple of changes that we plan on making to our summary of economic projections beginning in december. first, we will release the entire package of sep materials at the same time that the fomc statement comes out. previously, some of these materials were released three weeks after the meeting as part of the minutes. this step will make more information available at the time of our policy announcements, including the distributions of forecasts and how participants judge the uncertainty and risks that attend their projections. second, we will add two new graphs that show how the balance of participants assessments of uncertainty and risks have evolved over time. these changes to the sep will provide a timely perspective on the risks and uncertainties that surround the modal or baseline projections, thereby highlighting some of the risk-management considerations that are relevant for monetary policy. to conclude, we understand that our actions affect communities, families, and businesses across the country. everything we do is in service to our public mission. we are committed to using our full range of tools to support the economy and to help assure that the recovery from this difficult period will be as robust as possible. thank you. i look forward to your questions."
"2020-11-05","sure. so, of course. lets start with february. in february, we had an economy that was performing well. then the pandemic hit, and we had a record decline in activity in march and april, and then we had a record bounceback in may and june. and so as i think would have been expected and was expected, the pace of improvement from may and june has now moderated, so its not unexpected. and i think if you look at just about anything, you know, for example, the payroll readings, the payroll job gains in may and june were just outsized. and theyre certainly still very large, but theyvebut the pace of improvement has moderated. thats the case for, for all different measures in the labor forcein the labor market, rather. another would be claims. just about all the data wereshowed a big bounceback. but then, as you would expect, when, when you sort of had peoplea lot of people go back to work at once, the pace will moderate. same thing with economic activity. most forecasts call for, you know, still a significant growth in the fourth quarter but not at the 33 percent annualized pace that we had in the third quarter. so, in a sense, that would bethat would be as expected. we have been concerned that the downside risks, though, are, are prevalent now, which arewhich are really the risk of the further spread of the disease and also the risk that, that households will run through the savings theyve managed to accumulate on their balance sheet and that that could weigh on activity. but what we see up to the present, really, is, continued growth, continued expansion, but at, at a gradually moderating pace."
"2020-11-05","so it isobviously, its for congress to decide the timing, size, and components of further fiscal support for the economy, and i will say that the support provided by the cares act was absolutely essential in supporting the recovery that weve seen so far, which has generally exceeded expectations. and i do think its likely that further support is likely to be needed for monetary policy and fiscal policy. i just mentioned the two risks that i think we, we face, and those would be well addressed through more fiscal policy. one is the further spread of the virus, and the other is the lapsing of the cares act benefits and the savings on peoples balance sheets that will dwindle. but i, you know, i think its appropriate for us not to try to prescribe for congress exactly what they should do or what the timing of it should be or what the size of it should be and leave it at that."
"2020-11-05","so on your first question, you know, well take into account all external factors and, and do what we think we need to do with the tools that we have to pursue our goals. thats what we will do. and ive said it on a couple of occasions that that will go better and move more quickly if we have a broad set of policies from across the government. and weve said this in the very beginning: its really, first and foremost, health-care policy, getting thegetting the spread of the virus under control and working on therapeutics and vaccines and that kind of thing, gettingso thatthose are absolutely critical to the economy. now, those are important, as well as health policies. theyre, theyre going to be critical to the economy. fiscal policy can do what we cant, which is to replace lost incomes for people who are out of work through no fault of their own. and then wewhat we can do is, we can obviously support financial stability through our lending programs, and, and we can support demand through, through interest rates and asset purchases and that sort of thing. so were, were going to take the economy as it comes, including all external factors. so i think all of us lived through the experience of theof the years after the global financial crisis. and for a number of years there, in the middle of the recovery, fiscal policy was pretty tight. and. and i think i just would say that i think well have a stronger recovery if we can just get at least some more fiscal support when its appropriate, you know, when its appropriate and in the size congress thinks is appropriate. i do think that that will likelyand, by the way, you see, you know, a lot of discussion on both sides of the aisle, on both sides of the hill that suggests generally that there will be something."
"2020-11-05","so, on the firstthe first question, itsour asset purchases are serving both purchases, bothsorry, both purposes: financial market function and support for economic activity. soand thats really been truei think in the very beginning of the crisis, the main focus was, obviously, financial, financial market function, particularly in, in, you know, some of the major markets. but after that period, weve, weve understood all along that our purchases are also supporting economic activity, and thats important. and that need hasnt dwindled at all. so, so we havent looked at reducing purchases. so in terms of what they can do, first i would just say, the purchases that we have in place are providing strong support to economic activity still. and, by the way, theyre sustaining the gains weve made in financial stability. you know, we dontwe dont take anything for granted. we, we dont expect that things will deteriorate. but, nonetheless, we have a habit of keeping things in place for a while. so were not taking our gains in financial market function for granted, although, admittedly, theyve been very large. so the asset purchases are just another very important piece of the accommodative policy stance that we have. and, you know, as you know, thesewere buying $120 billion a month. thats $1. 44 trillion, if i remember my times tables. and its just providing a lot of support for, for economic activity and, by the way, removing just about the same amount of duration risk from private hands as qe3 did. so this is a big program, and its doing a lot of good. and we also, today, you know, we had a full discussion of the options around quantitative easenot quantitative easing, the asset purchase program, and, you know, we understand the, the ways in which we can adjust the parameters of it to deliver more accommodation if it turns out to be appropriate. right now, we think that this very large, effective program is delivering about the right amount of accommodation and support for the markets, and so it continues."
"2020-11-05","thank you. so you didyou laid out nicely the, the risks of damage to the supply side of the economy, or scarring, as you put it. and weve been talking about those since the very beginning of the pandemic. the risk is that, for example, people are out of the labor force for an extended period of time. they lose their attachment to the labor force, and its harder to get back. your skills atrophy. its harder to get back in. and the record is, if you dont get back in very fairly quickly, it can be harder to get back in. and that holds down the whole economy. and, by the way, it alsoit places enormous burdens on individuals who may have this happen to them at an important stage in their career. so its, its, its important. and, you knowso that is one of the reasons why our response was so strong and so urgent at the beginning and why we called this, this set of risks out. i dont know how we could be much more vocal about it than we have been. fortunately, foryou know, the economic recovery has exceeded, certainly, the downside cases that we were very concerned about and even, even exceededsort of exceeded the baseline expectations. now, thats so far. we are a long way from our goals. and, you know, were, were sort of halfway there on the labor market recovery at best. and, and there are parts of the economy where its going to be hard until theres a vaccineyou know, the parts of the economy. so, you know, thats the supply-side damage. thats sort of the third thing that we talk about. the first, at the beginning, it was to provide relief and comfort. the secondthen the second part was to provide support whento the expansion when it came. and the third was to avoid longer-run damage to the economy, and thats, thats all of these things. i think we have been vocal. you know, well, well try to continue to do that. and, and those arethats againthat goes to keeping this episode as short as it can be and avoiding unnecessary business bankruptcies, unnecessary household bankruptcies, and unnecessary long- term stays of unemployment or supporting people through them so that they can maintain their financial footing and their lives and be able to go back to work in a productive way. its, its very important thatyou know, there is a real threat here of those things, and, and, you know, were trying to do everything we can to minimize that threat."
"2020-11-05","yes, thanks. so, first, let me say, we do think that the facilities have, have generally served their purposes well, particularly in supporting the flow of credit, particularly acting as backstops to private markets. so, overall, we think that the, the programs have, have gone well. in terms of the extension, we are, we are just now turning to that question. you know, weve had a lot of things to work our way through. right now were just in the process of turning to that question and, of course, not made any decisions. and in terms of the process, this is a decision that, of course, we have to make and will make jointly with the treasury department."
"2020-11-05","okay, thanks. so two questions. first, i, i take the sense of your first question to be, is monetary policy out of power or out of ammo? and the answer to that would be no, i dont think that. i thinki think that we are strongly committed to using these powerful tools that we have to support the economy during this difficult time for as long as needed, and no one should have any doubt about that. and we do not doubt the power of the things that weve already done or the things that we may, may do in the future. i do think theres more that can be done. and i also think, if you look at the stock of assets that weve bought, if you look at the facilities and, and the way weve been able to keep accommodative financial financial conditions accommodative, i think weve been able to do a lot of things that are providing very strong support for the economy. and were going towere going to keep at that. ive saidweve said from the very beginning, though, that this is particularthat the particular situation we find ourselves in is one where there is a sudden loss of income on, on the part of millions and tens of millions of people. its not so much a typical recession where demand weakens, the fed cuts interest rates, interest rates stimulate demand, and the economy recovers. its a sudden shock where tens of millions of people are out of work. and the fiscal response was, was frankly, i think, very good and very robust in the united states. and its certainly one of the main reasons why the recovery has been as good as its been so far. so i do think fiscal policy is absolutely essential here. you know, stimulating aggregate demand is one thing, but where theres a part of the economy that kind of will be resistant to that, you also need fiscal policy. and, of course, you need health-care policy too. i didnt see madame lagardes comments this morning, but i, i took the sense of that question to be the spread of the disease in europe, and what do we think about that? yes. so, as i mentioned in myin my opening remarks, its a concern. we have a widespread spike in cases across the country, more in some regions than others. and even if we dont haveand i dont expect that we wouldsort of government-imposed restrictions, it does seem likely, though, that people who have maybe begun to engage in activities that they had in flying, staying in a hotel, going to restaurants, going to bars, and, and things like that, that they may pull back in a situation where suddenly the cases are everywhere in your city, your state, your community. so i do think that thats a risk that we have as we go into the fall now and, and the cases spike. that, that could weigh on economic activity. one would expect that it would. we thought the same thing, in fairness, about the wave we had this summer in the south and the west. and the economy, you know, seemed to move right through that. this one seems to be larger and more widespread. in any case, its a risk, is what i would characterize iti would characterize it as a risk, as i did in myin my comments."
"2020-11-05","so let melet me say, in the first instance, our, our main focus is on doing our job, and that is really what were, were focused on is using the tools that congress has given us and the assignment theyve given us. and i think were, werethat is the thing that we think about night and day. i just know from, from the experience of the last cycle, it helps to have the whole government working on these things, and this one is particularly that way. and i, i donti thinkyou know, i, i dont want to say whether i feel like im being heard or not. but, sure, i think there are plenty of people on capitol hill who, on both sides of the aisle, on both sides of the hill, who see a need for further fiscal action and understand perfectly why that might be the case."
"2020-11-05","so i dont really have a specific hypothetical i wouldi would put to you. i would just say that we, we understand that there are a number of parameters that we have where we can shift the composition, the duration, you know, the size, the life, life cycle of the program. all of those things are, are available to us as ways to deliver additionyou know, more accommodation if we think thats appropriate. right now, we, we like the amount of accommodation the program is, is delivering. and it will just depend on theon the facts and circumstances. we may reach a view at some point that we need to do more on that front. todays meeting was about analyzing theone of the things it was about was about analyzing the various ways and having a, you know, good discussion about how to think about those, those various parameters, which i, i thought was quite a useful discussion."
