"meeting_date","paragraph_text"
"2021-09-22","good afternoon. at the federal reserve, we are strongly committed to achieving the monetary policy goals that congress has given us: maximum employment and price stability. today, the federal open market committee kept interest rates near zero and maintained our current pace of asset purchases. these measures, along with our strong guidance on interest rates and on our balance sheet, will ensure that monetary policy will continue to support the economy until the recovery is complete. progress on vaccinations and unprecedented fiscal policy actions are also providing strong support to the recovery. indicators of economic activity and employment have continued to strengthen. real gdp rose at a robust 6. 4 percent pace in the first half of the year, and growth is widely expected to continue at a strong pace in the second half. the sectors most adversely affected by the pandemic have improved in recent months, but the rise in covid-19 cases has slowed their recovery. household spending rose at an especially rapid pace over the first half of the year but flattened out in july and august as spending softened in covid-sensitive sectors, such as travel and restaurants. additionally, in some industries, near-term supply constraints are restraining activity. these constraints are particularly acute in the motor vehicle industry, where the worldwide shortage of semiconductors has sharply curtailed production. partly reflecting the effects of the virus and supply constraints, forecasts from fomc participants for economic growth this year have been revised somewhat lower since our june summary of economic projections, but participants still foresee rapid growth. as with overall economic activity, conditions in the labor market have continued to improve. demand for labor is very strong, and job gains averaged 750, 000 per month over the past three months. in august, however, job gains slowed markedly, with the slowdown concentrated in sectors most sensitive to the pandemic, including leisure and hospitality. the unemployment rate was 5. 2 percent in august, and this figure understates the shortfall in employment, particularly as participation in the labor market has not moved up from the low rates that have prevailed for most of the past year. factors related to the pandemic, such as caregiving needs and ongoing fears of the virus, appear to be weighing on employment growth. these factors should diminish with progress on containing the virus, leading to more rapid gains in employment. looking ahead, fomc participants project the labor market to continue to improve, with the median projection for the unemployment rate standing at 4. 8 percent at the end of this year and 3. 5 percent in 2023 and 24. the economic downturn has not fallen equally on all americans, and those least able to shoulder the burden have been hardest hit. in particular, despite progress, joblessness continues to fall disproportionately on lower-wage workers in the service sector and on african americans and hispanics. inflation is elevated and will likely remain so in coming months before moderating. as the economy continues to reopen and spending rebounds, we are seeing upward pressure on prices, particularly because supply bottlenecks in some sectors have limited how quickly production can respond in the near term. these bottleneck effects have been larger and longer lasting than anticipated, leading to upward revisions to participants inflation projections for this year. while these supply effects are prominent for now, they will abate, and as they do, inflation is expected to drop back toward our longer-run goal. the median inflation projection from fomc participants falls from 4. 2 percent this year to 2. 2 percent next year. the process of reopening the economy is unprecedented, as was the shutdown at the onset of the pandemic. as the reopening continues, bottlenecks, hiring difficulties, and other constraints could again prove to be greater and longer lasting than anticipated, posing upside risks to inflation. our framework for monetary policy emphasizes the importance of having well-anchored inflation expectations, both to foster price stability and to enhance our ability to promote our broad-based and inclusive maximum-employment goal. indicators of longer-term inflation expectations appear broadly consistent with our longer-run inflation goal of 2 percent. if sustained higher inflation were to become a serious concern, we would certainly respond and use our tools to assure that inflation runs at levels that are consistent with our goal. the path of the economy continues to depend on the course of the virus, and risks to the economic outlook remain. the delta variant has led to significant increases in covid-19 cases, resulting in significant hardship and loss and slowing the economic recovery. continued progress on vaccinations would help contain the virus and support a return to more normal economic conditions. the feds policy actions have been guided by our mandate to promote maximum employment and stable prices for the american people, along with our responsibilities to promote the stability of the financial system. our asset purchases have been a critical tool. they helped preserve financial stability and market functioning early in the pandemic and since then have helped foster accommodative financial conditions to support the economy. at our meeting that concluded earlier today, the committee continued to discuss the progress made toward our goals since the committee adopted its asset purchase guidance last december. since then, the economy has made progress toward these goals. if progress continues broadly as expected, the committee judges that a moderation in the pace of asset purchases may soon be warranted. we also discussed the appropriate pace of tapering asset purchases once economic conditions satisfy the criterion laid out in the committees guidance. while no decisions were made, participants generally view that, so long as the recovery remains on track, a gradual tapering process that concludes around the middle of next year is likely to be appropriate. even after our balance sheet stops expanding, our elevated holdings of longer-term securities will continue to support accommodative financial conditions. the timing and pace of the coming reduction in asset purchases will not be intended to carry a direct signal regarding the timing of interest rate liftoff, for which we have articulated a different and substantially more stringent test. we continue to expect that it will be appropriate to maintain the current 0 to ¼ percent target range for the federal funds rate until labor market conditions have reached levels consistent with the committees assessment of maximum employment and inflation has risen to 2 percent and is on track to moderately exceed 2 percent for some time. half of fomc participants forecast that these favorable economic conditions will be fulfilled by the end of next year; as a result, the median projection for the appropriate level of the federal funds rate lies slightly above the effective lower bound in 2022. participants generally expect a gradual pace of policy firming that would leave the level of the federal funds rate below estimates of its longer-run level through 2024. of course, these projections do not represent a committee decision or plan, and no one knows with any certainty where the economy will be a year or more from now. more important than any forecast is the fact that policy will remain accommodative until we have achieved our maximum-employment and price-stability goals. to conclude, we understand that our actions affect communities, families, and businesses across the country. everything we do is in service to our public mission. we at the fed will do everything we can to support the economy for as long as it takes to complete the recovery. thank you, and i look forward to your questions."
"2021-09-22","sure. so the test for beginning our taper is that weve achieved substantial further progress toward our goals of [2 percent] inflation and maximum employment. and for inflation, we appear to have achieved more than significant progresssubstantial further progress. so that part of the test is achieved, in my view and in the view of many others. so the question is really on the maximum-employment test. so if you look at a good number of indicators, you will see that, since last december, when we articulated the test, and the readings today, in many cases more than half of the distance, for example, between the unemployment rate in december of 2020 and typical estimates of the natural rate50 or 60 percent of that road has been traveled. so that could be substantial further progress. many on the committee feel that the substantial further progress test for employment has been met. others feel that its close, but they want to see a little more progress. theres a range of perspectives. i guess my own view would be that the testthe substantial further progress test for employment is all but met. and so, once weve met those two tests, once the committee decides that theyve met [them]and that could come as soon as the next meeting; thats the purpose of that language, is to put notice out that that could come as soon as the next meeting. the committee will consider that test, and well also look at the broader environment at that time and make a decision whether to taper."
"2021-09-22","sure. so, as you can see, the inflation forecasts have moved up a bit in the outyears. and thats really, i think, a reflection ofand theyve moved up significantly for this year. and thats, i think, a reflection of the fact that the bottlenecks and shortages that are beingthat were seeing in the economy have really not begun to abate in a meaningful way yet. so those seem to be going to be with us at least for a few more months and perhaps into next year. so that suggests that inflations going to be higher this year, and a numberi guess the inflation rates for next year and 2023 were also marked up, but just by a couple of tenths. whythose are very modest overshoots. youre looking at 2. 2 and 2. 1, you know, two years and three years out. these are very, veryi dont think that households are going to, you know, notice a couple of tenths of an overshoot. that just happens to be peoples forecasts. you know, we want to foster a strong labor market, and we want to foster inflation averaging 2 percent over time, and i think were very much on track to achieve those things. in terms of the framework, i see this as very consistent with the framework. we want inflation expectations to be anchored at around 2 percent. we want, werethats really the ultimate test of whether were getting this done under the framework. and, you know, we do want inflation to run moderately above 2 percent. i wouldnt put too much on a couple of tenths over 2 percent in 2023 and 24one-tenth in 24. but youre right, those are the numbers."
"2021-09-22","so let me say that theres very broad support on the committee for this plan, both as to the timing and as to the pace of the taper. so this was a unanimous vote today, and id say quite broad support for this approach. youre correct that there are some who would prefer to have gone sooner, and theyve made their arguments publicly. for some of them, its a financial stability concern. and for others, its other concerns. they can make their own arguments. this is an approach that the committee will broadly support, and it will put us having completed our taper sometime around the middle of next year, which seems appropriate. you know, the asset purchases, as i mentioned, were very, very important at thein the early stages of the crisis. they were essential in restoring market function in the treasury and other markets. then, as the recovery got going, they supported aggregate demand, as they will do. and now were in a situation where they still have a use, but its time for us to begin to taper them. their usefulness is much less as a tool than it was at the very beginning. and, of course, this leaves the whole question of rate increases ahead, which is really where the frameworkthe framework is all about how we deal with rate increases and that sort of thing. so we think this is the appropriate way to go. and, again, broad support on the committee."
"2021-09-22","well, so, again, substantial further progress toward our goals is the test for beginning the taper. and the taper takes some months in everyones figuring. so youre going to be well away from satisfying the liftoff test when we begin the taper. so in terms of the liftoff test, though, you know, its what we adopted last september. its labor market conditions consistent with maximum employment. and while we have interesting signs that, in many ways, the labor markets very tight, we also have lots of slack in the labor market, and we think that those imbalances will sort themself out. inflation at 2 percent and on track to achieve it, moderately higher inflation over 2 percentyou know, that really depends on the path of inflation. if inflation remains higher during the course of 2022, then we may already have met that test by the time we reach liftoff. so i just think, if you look at what people are writing down for year-end 2022 numbers, some people are writing down very low unemployment rates. and thats only one indicator, but it suggests a very strong labor market. and i think theyre writing down in good faith what they see as meeting the test. theres a range of perspectives about where the economy will be, but by the way, all but one participants have us lifting off during 2023. so its not really an unusually wide array of views about this."
"2021-09-22","so, no, i was not aware of the specifics of what they were doing. so let me just say a couple things about this subject. we understand very well that the trust of the american people is essential for us to effectively carry out our mission. and thats why i directed the fed to begin a comprehensive review of the ethics rules around permissible financial holdings and activity by fed officials. so those rules are, in many respects, the same as those for government agencies, plus a number of things that apply specifically to us because of our business. one of those issort of, three things i would point to in terms of specific restrictures. one is, ownership of certain assets is not allowed, and thats bank securities and other things. secondly, there are times when were not allowed to trade at all or to, you know, buy and sell financial assets. and thats the period immediately before and during an fomc meeting. and, third, theres regular disclosure. so all of theseeveryones, you know, ownership and activities are all disclosed on an annual basis. so, you know, i would have had to go back and read peoples financial disclosures to know what their activities have been. this has been our framework for a long time, and i guess youd say its served us well. the other thing you would saythat it is now clearly seen as not adequate to the task of really sustaining the publics trust in us. we need to make changes, and were going to do that as a consequence of this. this will be a thoroughgoing and comprehensive review. were going to gather all the facts and look at ways to further tighten our rules and standards."
"2021-09-22","dont have a timeline yet; we can start with that. so, well, let me address the muni question, since thats in there. you know, i personally owned municipal securities for many, many years, and in 2019, i froze that. meaning itheyre noim holding all those securities, my wife and i, to maturity. and munis were always thought to be a pretty safe place for a fed person to invest because, as you know, the lore was that the fed would never buy municipal securities. so it was not an uncommon thing. and so then comes the, you know, the covid crisis, and i reversed that policy, and i did it without hesitating. and the reason was that the financial markets, including the municipal financial market, were very much on the verge of collapse. and it was time to go, and we did. but we also checked with the office of government ethics andwho looked carefully at it and said that i didnt have a conflict. so thats one answer that i wanted to share with you. secondly, youre right, though, aswere going to be looking at all those things. i dont want to get ahead of the process here and speculate about particular outcomes. but this, again, comprehensive and deliberate processwere going to make changes. i want to be able to look back on this years from now and know that we rose to meet this challenge and handled the situation well, and that what we did made a lot of sense and protected the publics interest and the institution that were all a part of."
"2021-09-22","i think thats a reasonable thing. yeah, and, of course, for the most part, we dont. i mean, it was a real coincidence; i happened to pre-own these munis. they were bought many years ago, actually. and so we started buying munis as part of the municipal liquidity facility. so it was really not ait just was an unforeseen event. and i couldnt sell them, so what i did was, i just held them, checked with the ethics people, and went ahead. so, but as a general principle, yeah, that makes a lot of sense."
"2021-09-22","so, youre right, we have areally, ill call it a unique situation where, by many measures, the labor market is tight. and 11 million job openings, very widespread reports from employers all over the economy saying its quite difficult to hire people, wages moving up, and that kindso, quite a tight labor market. so our view, i think widespread view a few months ago was that several things were coming together in the fall, including kids back to school, which would, you know, which would lighten caregiving duties, including the expiration of unemploymentextra unemployment benefits, and other things would come together to provide an increase in labor supply, and so wed get out of this strange world where therere lots of unemployed people and a high unemployment rate but a labor shortage. and so what happened was, delta happened. and you had this very sharp spike in delta cases. and i think, so that affectsfor example, when schools are open 60 percent of the time or when theyre always at a threat of being closed because of delta, the delta variant, you know, you might want to wait. rather than going ahead and taking a job and starting work only to have to quit it three weeks later, youre going to wait until youre confident of that. so some of that may not have happened. also, people didnt, you knowas you know, hiring and spending in these face-to-face service industries, travel and leisure, it just kind of stopped during those months. so weso thatreally, the big shortfall in labor, in jobs, was largely in travel and leisure, and thats because ofclearly because of delta. so that all happened. and so what wewe know things that didnt happen. i think theres stillit may just be that its going to take more time. but it still seems that, inexorably, people willthese are people who were largely working back in february of 2020. theyll get back to work when its time to do that. it just may take a longer time. youre right, thoughit didnt happen with any force in september, and a lot of that was delta. in terms of theyou asked also about the test for november. i think if the economy continues to progress broadly in line with expectations, then i thinkand also the overall situation is appropriate for this, then i think we could easily move ahead at the next meeting. or not, depending on whether we feel like that, those tests are met."
"2021-09-22","so it is, its accumulated progress. so, you know, for me, it wouldnt take a knockout, great, super strong employment report. it would take a reasonably good employment report for me to feel like that test is met. and others on the committeemany on the committee feel that the test is already met. others want to see more progress. and, you know, well work it out as we go. but i would say that, in my own thinking, the test is all but met. so i dont personally need to see a very strong employment report, but id like to see a gooda decent employment report. i mean, its not, its, again, its not to be confused with the test for liftoff, which is so much higher."
