"meeting_date","paragraph_text"
"2021-01-27","good afternoon. at the federal reserve, we are strongly committed to achieving the monetary policy goals that congress has given us: maximum employment and price stability. since the beginning of the pandemic, we have taken forceful actions to provide relief and stability, to ensure that the recovery will be as strong as possible, and to limit lasting damage to the economy. today my colleagues on the fomc and i kept interest rates near zero and maintained our sizable asset purchases. these measures, along with our strong guidance on interest rates and our balance sheet, will ensure that monetary policy will continue to deliver powerful support to the economy until the recovery is complete. the path of the economy continues to depend significantly on the course of the virus. a resurgence in recent months in covid-19 cases, hospitalizations, and deaths is causing great hardship for millions of americans and is weighing on economic activity and job creation. following a sharp rebound in economic activity last summer, the pace of the recovery has moderated in recent months, with the weakness concentrated in the sectors of the economy most adversely affected by the resurgence of the virus and by greater social distancing. household spending on services remains low, especially in sectors that typically require people to gather closely, including travel and hospitality. and household spending on goods has moderated following earlier large gains. in contrast, the housing sector has more than fully recovered from the downturn, supported in part by low mortgage interest rates. business investment and manufacturing production have also picked up. the overall recovery in economic activity since last spring is due in part to federal stimulus payments and expanded unemployment benefits, which have provided essential support to many families and individuals. the recently enacted coronavirus response and relief act [consolidated appropriations act, 2021] will provide additional support. overall economic activity remains below its level before the pandemic, and the path ahead remains highly uncertain. as with overall economic activity, the pace of improvement in the labor market has slowed in recent months. employment fell by 140, 000 in december, as continued gains in many industries were outweighed by significant losses in industries where the resurgence of the virus has weighed further on activity. in particular, the leisure and hospitality sector lost nearly half a million jobs, largely from restaurants and bars. the unemployment rate remained elevated at 6. 7 percent in december, and participation in the labor market is notably below pre-pandemic levels. although there has been much progress in the labor market since the spring, millions of americans remain out of work. the economic downturn has not fallen equally on all americans, and those least able to shoulder the burden have been the hardest hit. in particular, the high level of joblessness has been especially severe for lower-wage workers in the service sector and for african americans and hispanics. the economic dislocation has upended many lives and created great uncertainty about the future. the pandemic has also left a significant imprint on inflation. following large declines in the spring, consumer prices picked up over the summer but have leveled out more recently. for those sectors that have been most adversely affected by the pandemic, prices remain particularly soft. overall, on a 12-month basis, inflation remains below our 2 percent longer-run objective. while we should not underestimate the challenges we currently face, several developments point to an improved outlook for later this year. sufficiently widespread vaccinations would enable us to put the pandemic behind us and return to more normal economic activities. in the meantime, continued observance of social-distancing measures and wearing masks will help us reach that goal as soon as possible. support from fiscal policy will help households and businesses weather the downturn as well as limit lasting damage to the economy that could otherwise impede the recovery. in addition, as we have seen since last summer, the economy has proved more resilient than expected, in part reflecting the adaptability of households and businesses. finally, monetary policy is playing a key role in supporting the recovery and will continue to do so. the feds response to this crisis has been guided by our mandate to promote maximum employment and stable prices for the american people, along with our responsibilities to promote the stability of the financial system. today we unanimously reaffirmed our statement on longer-run goals and monetary policy strategy, as we typically do each january. as we say in that statement, we view maximum employment as a broad-based and inclusive goal. our ability to achieve maximum employment in the years ahead depends importantly on having longer-term inflation expectations well anchored at 2 percent. as the committee reiterated in todays policy statement, with inflation running persistently below 2 percent, we will aim to achieve inflation moderately above 2 percent for some time so that inflation averages 2 percent over time and longer-term inflation expectations remain well anchored at 2 percent. we expect to maintain an accommodative stance of monetary policy until these employment and inflation outcomes are achieved. with regard to interest rates, we continue to expect it will be appropriate to maintain the current 0 to ¼ percent target range for the federal funds rate until labor market conditions have reached levels consistent with the committees assessment of maximum employment and inflation has risen to 2 percent and is on track to moderately exceed 2 percent for some time. in addition, we will continue to increase our holdings of treasury securities by at least $80 billion per month and of agency mortgage-backed securities by at least $40 billion per month until substantial further progress has been made toward our maximum-employment and price-stability goals. the increase in our balance sheet since last march has materially eased financial conditions and is providing substantial support to the economy. the economy is a long way from our employment and inflation goals, and it is likely to take some time for substantial further progress to be achieved. our forward guidance for the federal funds rate, along with our balance sheet guidance, will ensure that the stance of monetary policy remains highly accommodative as the recovery progresses. our guidance is outcome based and ties the path of the federal funds rate and the balance sheet to progress toward reaching our employment and inflation goals. thus, if progress toward our goals were to slow, the guidance would convey our intention to increase policy accommodation through a lower expected path of the federal funds rate and a higher expected path of the balance sheet. overall, our interest rate and balance sheet tools are providing powerful support to the economy and will continue to do so. weve also taken actions to more directly support the flow of credit in the economy, deploying our emergency lending powers to an unprecedented extent, enabled in large part by financial backing and support from congress and the treasury. although the cares act facilities are noare no longer open to new activity, our other facilities remain in place. to conclude, we understand that our actions affect communities, families, and businesses across the country. everything we do is in service to our public mission. we are committed to using our full range of tools to support the economy and to help assure that the recovery from this difficult period will be as robust as possible. thank you. i look forward to your questions."
"2021-01-27","so, on, on your first question, i dont want to comment on a particular company or, or days market activity or things like that. its just not really something that i would typically comment on. in terms of macroprudential policy tools, so, as you know, no doubt, we rely on sort of always-on, through-the-cycle macroprudential policy tools, particularly the stress tests and also the elevated levels of liquidity and capital and, and, and also resolution planning that wethat we impose on the largest financial institutions. we dont use time-varying tests and tools as some other countries do. and we think its a good approach becausefor us to use ones that are always-onbecause we dont really think wed be successful in every case in picking the exact right time to intervene in markets. so thats for banks. you really asked about nonbanks, the nonbank sector. and so we monitor financial conditions very broadly. and while we dont have jurisdiction over, over many areas in the nonbank sector, other agencies do. and so we do coordinate through the financial stability oversight council and with other agencies who have responsibility for, for nonbank supervision. and, in fact, as you know, in the last crisis, the banking system held up fairly well so far. and, and the dislocations that we saw from the outsized economic and financial shock of the pandemic really appeared in the nonbank sector. so thatsright now we are engaged in, in carefully examining, understanding, and thinking about what, what in the nonbank sector will need to be addressed in the next year or so."
"2021-01-27","thank you. so i guess id start by saying that the, the fiscal response that weve seen to this downturn has been strong, and i think we can say now that its been sustained after the passage of theof the, the most recent act in, in late december. and thats really a key reason why the recovery has been as strong as its been. fiscal policy has been absolutely essential. when we look back on, on the history of this period, well see a strong and sustained fiscal policy response. i wouldi would add that were, as i mentioned, a long way from a full recovery. something like 9 million people remain unemployed as a consequence of the pandemic. thats as many people as lost their jobs at the peak of the global financial crisis and the great recession. many small businesses are under pressure, and there are other needs to be addressed. and the path ahead is still pretty uncertain. so, all of that said, the judgment on how much to spend and in what way is really one for congress and the administration and not for the fed. and these discussions are going on right now. so theres a discussion, as you know, right now around, around those precise questions, and, and thats appropriate, but not for us to play a role in talking about specific policies."
"2021-01-27","let melet me provide a little context. the shock that thefrom the pandemic was unprecedented both in its nature and in its size and in the amount of unemployment that it created and in the shock to economic activity. theres nothing close to it in our modern economic history. so our response was really to that. and weweve done what we could, first, to restore market function and to provide a bit of relief, then to support the recovery. and, hopefully, well be able to do the third thing, which is to avoid longer-run damage to theto the economy. our role assigned by congress is maximum employment and stable prices and also look after financial stability. so, in a world where, almost a year later, were, were still 9 million jobs, at leastthats one way of counting it; it can actually be counted much higher than that short of maximum employment and people are out of the labor force who were in the labor forcethe real unemployment rate is close to 10 percent if you include people thatve left the labor forceits very much appropriate that monetary policy be highly accommodative to support maximum employment and price stability, which is getting inflation back to 2 percent and averaging 2 percent over time. so, on, on matters of financial stability, we have a framework. we dont look at one thing or two things. we look atand we made that framework public after the financial crisis so that it could be criticized and understood and we could be held accountable. and, you know, the things that we look at arewe do look at asset prices. we also look at leverage in the banking system. we look at leverage in the nonthe nonbanking system, which is to say, corporates and households. and we look at also funding risk. and if you look at it across that range of, of, of readings, theyre each different, but we monitor them carefully. and i would say that financial stability vulnerabilities overall are moderate. our overall goal is to assure that the financial system itself is resilient to, to shocks of all kinds, that its strong and resilient. and that includes not just the banks, but money market funds and, and all different kinds of nonbank financial structures as well. so when we get to the nonfinancial sector, we dontwe dont have jurisdiction over that. butso i would just say that ourthat there are many things that go in, as you know, to, to setting asset prices. so if you look at whats really been driving asset prices, really, in the last couple of months, it isnt monetary policy. its been expectations about vaccines. and its also financialsorry, fiscal policy. those arethose are the news items that have been driving, driving asset purchasessorry, asset values in, in recent months. so i, i know that monetary policy does play a role there, but thats how we look at it. and i think, you know, i think that the connection between low interest rates and, and asset values is probably something thats not as tight as people think, because a lot ofa lot of different factors are driving asset prices at any given time."
"2021-01-27","so, you know, thatsas you know, thats one of the very difficult questions in all of monetary policy. and we dont rule it out as a theoretical matter, but we, we clearly look to macroprudential tools, regulatory tools, supervisory tools, other kinds of tools rather than monetary policy in, in addressing financial stability issues. its notyou know, the, the monetary policy we know strengthens economic activity and job creation through fairly well- understood channels. and a strong economy is actually a great supporter of financial stability. that will mean strong, you know, well-capitalized institutions, and, and households will be will be working. and, and so we know that. we dont actually understand the tradeoff betweenthe sense of it is, would youif you raise interest rates and thereby tighten financial conditions and reduce economic activity now in order to address asset bubbles and things like that, whatwill that even help? will itwill it actually cause more damage, or will it help? so i think thats unresolved. and i, i think its, its something we, we look at as not, not theoretically ruled out but not something we, weweve ever done and not something we would plan to do. we would rely on macroprudential and other tools to deal with financial stability issues."
"2021-01-27","so, on inflation, a couple of thingsthere are a couple of things that are worth mentioning. one is just that we know that we measure inflation on a trailing 12-month basis. and as weas we lap the very low inflation readings of march and april of last year, well see measured 12-month inflation move up a few tenths. this is justtheyre called base effects, and, and thats athats a transient thing that we think will pass. theres also the possibilityindeed, its in some forecaststhat as the economy fully reopens, therell be a burst of spending, andbecause people will be enthusiastic that the pandemic is over, potentially, and that that could also create some upward pressure on inflation. now, again, we would see that as something likely to be transient and not to be very large. in both cases, we dont see those as either lasting or particularly large. so the way we would react is, were going to be patient. expect us to wait and see and not react if we see small and what we would reviewwe would view as very likely to be transient effects on inflation. i think if youyou know, it helps to look back at, at the inflation dynamics that the united states has had now for some decades and notice that there has been, you know, significant disinflationary pressure for some time, for a couple of decades. inflation has averaged less than 2 percent for a quarter of a century. and the inflation dynamics, with the flat phillips curve and low persistence of inflation, is very much intact. those things, they change over time. we understand that inflation dynamics evolve constantly over time, but they dont change rapidly. so we think its very unlikely that anything we see now would result in, you know, troubling inflation. of course, if we did get sustained inflation at a level that was uncomfortable, we have tools for that. its far harder to deal with, with too low inflation. we know what to do with higher inflation, which is, you know, should the need arise, we, we would have those tools. and we dont expect to see that at all. in terms of how much, you know, what weve said is wed like to seebecause inflation has been running persistently below 2 percent, wed like to see it run moderately above 2 percent for some time. we have not adopted a formula. were not going to adopt a formula. were going towe, we use policy rules and formulas in everything we do, consult them constantly, but we dont set policy by them. we dont do that. and so were going to preserve an element of judgment. and, again, well seek inflation moderately above 2 percent for some time. and well, well show what that means when we get inflation above 2 percent. the, the way to achieve credibility on that is to actually do it. and so thats what were planning on doing."
"2021-01-27","so, in terms of the rollout of the vaccines, we see what everyone else sees, right? we see that were, were vaccinating people and at a rate of about a million a day, apparently, and that itll take quite a while to getto get to the numbers that the experts say are required to get to herd immunity. and we think its going to be a struggle. youll notice that we, we said that the, the pandemic still, still provides considerable downside risks to the economy. and thats one of the reasons why, is thatis the slowness of the rollout. the otheranother reason why is just the arrival of these new virus strains. we dont know how towe dont know how to model that. you know, we can have a base case, but we realize no one knows how thehow this new vaccine will roll out, how successful it will be, how high well be able to drive vaccination, and those sorts of things. so we have a base case, and webut we alwayswe always look at, at the range of possibilities. in this case, we particularly look at the downside risks. you know, thats really what we do is, we, we set policies so that were, were, you know, were going to remain accommodative until we actually see improvement in the economy and not just in the outlook, in the data. so thats, thats how we think about, about that. and i wouldi would also add, theres nothing more important to the economy now than, than people getting vaccinated. you know, if youif you, you think about the places where the economy is weaki mentioned bars and restaurants. thats 400, 000 jobs we lost last month, and thats all because of the spread of the pandemic. many other areas of the economy actually, there was actually job creation inyou know, in goods production and in some service partsindustries as well. but were just not going to be able to get that last group of people back to workand its a big group of peopleuntil we get the pandemic behind us. we, we have not won this yet. we havent succeeded in doing this yet, and we need to stay focused on it as a country and, and get there. and, you know, we clearly can, but were going to have to stay focused. and that includesyou know, that includes us at the fed, monetary policy. i, i have been vaccinated once, and i expect to get my second vaccine sometime soon. thank you."
"2021-01-27","no, we haventwe havent done that. i mean, remember, were, were focused on maximum employment, price stability, financial stability as i defined itthe broad financial sector. and, and thatthats not, you knowover the years, we, we consult the fact that we have that authority. but, no, its not something were looking at right now at all."
"2021-01-27","well, first, iwe, we think our policy stance is, is just right. we think its providing significant support for economic activity and hiring. we, you know, we, we adopted a new monetary policy framework of flexible average inflation targeting in august. in september, we, we implemented rate guidance that, that was consistent with and based on that new framework. in december, we did the same for asset purchases. so we now have, you know, strong guidance on, on rates and on asset purchases thats providing very strong support for economic activity. if you look at the sectors of the economy that are interest sensitive, you will see very strong activity: housing, durable goods, automobile sales. so, you know, our, our policies are working. and we think that, that they arewe think our policy stance is, is right. that said, theres clearly more that we can do. with asset purchases, for example, we can, you knowthats, thats a tool we can do morewe can strengthen our guidance, too, if we were to think that that were appropriate. what you see is an economy where whats holding it back is not the lack of, of policy support from the fed. its the pandemic. its, its the spread of the disease and peoples reluctance or, or inability to partake in certain kinds of economic activities, which amount to a, a meaningful part of the economy. so thats, thats what i would say. we certainly have things that we can do, but we think werewe think were in the right place. you know, in terms ofin terms of tapering, its just premature. we just created the, the guidance. we said wed want to see substantial further progress toward our goals before we modify our, our asset purchase guidance. its just too early to be talking about dates, which we should be focused on, on progress. well need to see actual progress. and when, when we see ourselves getting to that point, well communicate clearly about it to, to the public so nobody will be surprised when the time comes. and well do that well in advance of actually considering what will be a pretty gradual taper."
"2021-01-27","yes. so, you know, i, i was herewe had all the same questions back inafter the global financial crisis. we raised interest rates. we froze the balance sheet size, and then we shrank the balance sheet size. so theres no reason why we, we wont be able to do that again. in fact, we learned a lot from that experience. and, you know, we, we understandas we understood then, but even more sowe understand that thethat the way to do it is to communicate well in advance, to, to do predictable things, and to move gradually. and thats, thats what were going to do. were going to be very transparent. but, honestly, noyou know, the whole focus on exit is premature, if i may say. were focused on finishing the job were doing, which is to support the economy, to give the economy the support it needs. there are people out there whove lost their jobs. its essential that we get them back to work as quickly as possible, and we want to do everything we can to do that. and that is our primary focus right now. its, its, its too soon to beto be worried about that. you know, when we come to exit, we have awe have an understanding of how to do that, and well do it very carefully. but in the meantime, our focus is on giving the economy the support it needs."
