"meeting_date","paragraph_text"
"2022-06-15","good afternoon. i will begin with one overarching message: we at the fed understand the hardship that high inflation is causing. we are strongly committed to bringing inflation back down, and were moving expeditiously to do so. we have both the tools we need and the resolve that it will take to restore price stability on behalf of american families and businesses. the economy and the country have been through a lot over the past two and a half years and have proved resilient. it is essential that we bring inflation down if we are to have a sustained period of strong labor market conditions that benefit all. from the standpoint of our congressional mandate to promote maximum employment and price stability, the current picture is plain to see: the labor market is extremely tight, and inflation is much too high. against this backdrop, today the federal open market committee raised its policy interest rate by ¾ percentage point and anticipates that ongoing increases in that rate will be appropriate. in addition, we are continuing the process of significantly reducing the size of our balance sheet. ill have more to say about todays monetary policy actions after briefly reviewing economic developments. overall economic activity edged down in the first quarter, as unusually sharp swings in inventories and net exports more than offset continued strong underlying demand. recent indicators suggest that real gdp growth has picked up this quarter, with consumption spending remaining strong. in contrast, growth in business fixed investment appears to be slowing, and activity in the housing sector looks to be softening, in part reflecting higher mortgage rates. the tightening in financial conditions that weve seen in recent months should continue to temper growth and help bring demand into better balance with supply. as shown in our summary of economic projections, fomc participants have marked down their projections for economic activity, with the median projection for real gdp growth running below 2 percent through 2024. the labor market has remained extremely tight, with the unemployment rate near a 50-year low, job vacancies at historical highs, and wage growth elevated. over the past three months, employment rose by an average of 408, 000 jobs per month, down from the average pace seen earlier in the year but still robust. improvements in labor market conditions have been widespread, including for workers at the lower end of the wage distribution as well as for african americans and hispanics. labor demand is very strong, while labor supply remains subdued, with the labor force participation rate little changed since january. fomc participants expect supply and demand conditions in the labor market to come into better balance, easing the upward pressures on wages and prices. the median projection in the sep for the unemployment rate rises somewhat over the next few years, moving from 3. 7 percent at the end of this year to 4. 1 percent in 2024, levels that are noticeably above the march projections. inflation remains well above our longer-run goal of 2 percent. over the 12 months ending in april, total pce prices rose 6. 3 percent; excluding the volatile food and energy categories, core prices rose 4. 9 percent. in may, the 12-month change in the consumer price index came in above expectations at 8. 6 percent, and the change in the core cpi was 6 percent. aggregate demand is strong, supply constraints have been larger and longer lasting than anticipated, and price pressures have spread to a broad range of goods and services. the surge in prices of crude oil and other commodities that resulted from russias invasion of ukraine is boosting prices for gasoline and food and is creating additional upward pressure on inflation. and covid-related lockdowns in china are likely to exacerbate supply chain disruptions. fomc participants have revised up their projections for inflation this year, particularly for total pce inflation given developments in food and energy prices. the median projection is 5. 2 percent this year and falls to 2. 6 percent next year and 2. 2 percent in 2024. participants continue to see risks to inflation as weighted to the upside. the feds monetary policy actions are guided by our mandate to promote maximum employment and stable prices for the american people. my colleagues and i are acutely aware that high inflation imposes significant hardship, especially on those least able to meet the higher costs of essentials like food, housing, and transportation. we are highly attentive to the risks high inflation poses to both sides of our mandate, and we are strongly committed to returning inflation to our 2 percent objective. against the backdrop of the rapidly evolving economic environment, our policy has been adapting, and it will continue to do so. at todays meeting, the committee raised the target range for the federal funds rate by ¾ percentage point, resulting in a 1½ percentage point increase in the target range so far this year. the committee reiterated that it anticipates that ongoing increases in the target range will be appropriate. and we are continuing the process of significantly reducing the size of our balance sheetwhich plays an important role in firming the stance of monetary policy. coming out of our last meeting in may, there was a broad sense on the committee that a ½ percentage point increase in the target range should be considered at this meeting if economic and financial conditions evolved in line with expectations. we also stated that we were highly attentive to inflation risks and that we would be nimble in responding to incoming data and the evolving outlook. since then, inflation has again surprised to the upside, some indicators of inflation expectations have risen, and projections for inflation this year have been revised up notably. in response to these developments, the committee decided that a larger increase in the target range was warranted at todays meeting. this continues our approach of expeditiously moving our policy rate up to more normal levels. and it will help ensure that longer-term inflation expectations remain well anchored at 2 percent. as shown in the sep, the median projection for the appropriate level of the federal funds rate is 3. 4 percent at the end of this year, 1. 5 percentage points higher than projected in march and 0. 9 percentage point above the median estimate of its longer-run value. the median projection rises further to 3. 8 percent at the end of next year and declines to 3. 4 percent in 2024, still above the median longer-run value. of course, these projections do not represent a committee plan or decision, and no one knows with any certainty where the economy will be a year or more from now. over coming months, we will be looking for compelling evidence that inflation is moving down, consistent with inflation returning to 2 percent. we anticipate that ongoing rate increases will be appropriate; the pace of those changes will continue to depend on the incoming data and the evolving outlook for the economy. clearly, todays 75 basis point increase is an unusually large one, and i do not expect moves of this size to be common. from the perspective of today, either a 50 basis point or a 75 basis point increase seems most likely at our next meeting. we will, however, make our decisions meeting by meeting, and we will continue to communicate our thinking as clearly as we can. our overarching focus is using our tools to bring inflation back down to our 2 percent goal and to keep longer-term inflation expectations well anchored. making appropriate monetary policy in this uncertain environment requires a recognition that the economy often evolves in unexpected ways. inflation has obviously surprised to the upside over the past year, and further surprises could be in store. we therefore will need to be nimble in responding to incoming data and the evolving outlook. and we will strive to avoid adding uncertainty in what is already an extraordinarily challenging and uncertain time. we are highly attentive to inflation risks and determined to take the measures necessary to restore price stability. the american economy is very strong and well positioned to handle tighter monetary policy. to conclude: we understand that our actions affect communities, families, and businesses across the country. everything we do is in service to our public mission. we at the fed will do everything we can to achieve our maximum-employment and price-stability goals. thank you. and i look forward to your questions."
"2022-06-15","so, as you know, we always aim to provide as much clarity as we can about our policy intentions subject to the inherent uncertainty in the economic outlook, because we think monetary policy is more effective when market participants understand how policy will evolve, when they understand our objective function, our reaction function. and in the current highly unusual circumstances with inflation well above our goal, we think its helpful to provide even more clarity than usualagain, subject to uncertainty in the outlook. and i think over the course of this year, financial markets have responded and have, generally, shown that they understand the path were laying out. of course, it remains data dependent. and so thats what we generally think about guidance, and thats why we offer it. and, of course, when we offered thatwhen i offered that guidance at the last meeting, i did say that it was subject to the economy performing about in line with expectations. i also said that if the economy performedif data came in worse than expected, then we would consider moving even more aggressively. so we got the cpi data and also some data on inflation expectations late last week, and we thought for a while, and we thought, well, this is the appropriate thing to do. so then the question is, what do you do? and do you wait six weeks to do it at the next meeting? and i think the answer is, thats not where we are with this. so we decided we needed to go ahead, and so we did. and thats reallythats really how we made the decision."
"2022-06-15","sure. so if you take a step back, what were looking for is compelling evidence that inflationary pressures are abating and that inflation is moving back down. and wed like to see that in the form of a series of declining monthly inflation readings thats what were looking for. and, by this point, we had actually been expecting to see clear signs of at least inflation flattening out and, ideally, beginning to decline. weve said that wed be data dependent, focused on incoming data, highly attentive to inflation risksthe things that i mentioned to howard moments ago. so contrary to expectations, inflation again surprised to the upside. indicatorssome indicators of inflation expectations have risen, and projections of [inflation] this year have moved up notably. so we thought that strong action was warranted at this meeting, and today we delivered that in the form of a 75 basis point rate hike, as i mentioned. so the point of it, really, is this: weve been moving rates up expeditiously to more normal levels, and over the course of the seven months since we pivoted and began moving in this direction, weve seen financial conditions tighten, and appropriately so. but the federal funds rate, even after this move, is at 1. 6 percent. so, again, the committee is moving rates up expeditiously to more normal levels, and we came to the view that wed like to do a little more front-end loading on that. so i think that the sep gives you the levels that people think are appropriate at given points in time. this was really about the speed in which we would get there. so, as i mentioned, 75 basis points todayi said the next meeting could well be about a decision between 50 and 75. that would put us, at the end of the july meeting, in that rangein that more normal range, and thats a desirable place to be, because you begin to have more optionality there about the speed with which you would proceed going forward. just talking about the sep for a second: what it really says is that committee participants widely would like to see policy at a modestly restrictedrestrictive level at the end of this year. and thats six months from now, and so much data [can accrue] and so much can happen, so remember how highly uncertain this is. but so that is generally a range of 3 to 3½ percent. thats where people are, and thats what they want to see, knowing what they know now and understanding that we need to bewe need to show resolve but also be flexible [in responding] to incoming data as we see it. if things are better, we dont need to do that much, and if theyre not, then we either do that much or possibly even more. but in any case, it will be very data dependent. then youre looking at next year, and what youre seeing is, people see morea bit more tightening and a range of maybe 3½ to 4 percent. and thats generally what people see as the appropriate path for getting inflation under control and starting back down and getting back down to 2 percent. so 75 basis points seemed like the right thing to do at this meeting, and thats what we did."
"2022-06-15","sure. so the question really is, how high does the rate really need to go? and this isthe estimates on the committee are in that range of 3½ to 4 percent. and how do you think about that? well, you can think about the longer-run neutral rate, you can compare it to that, and we think thats in the mid-2s. you can look, frankly, at broader financial conditions. you can look at asset prices, you can look at the effect theyre having on the economy, rates, asset prices, credit spreadsall of those things go into that. you can also look at the yield curve and ask, all along the yield curve, where is the policy rate? so for much of the yield curve now, real rates are positive. thats not true at the short end. at the short end of the yield curve in the early years, you dont have realyou have negative rates still. so that really is one data pointits one part of financial conditions. so i thinki have to look at it this way: we move the policy rate. that affects financial conditions. and that affects the economy. we have, of course, waysrigorous ways to think about it, but, ultimately, it comes down to, do we think financial conditions are in a place where theyre having the desired effect on the economy? and that desired affect is, wed like to see demand moderating. demand is very hot still in the economy. wed like to see the labor market getting better in balance between supply and demand, and that can happen [as a result of developments coming] both from supply and demand. right now, theresdemand is substantially higher than available supply, though, so we feel that theres a role for us in moderating demand. those are the things we can affect with our policy tools. there are many things we cant affect, and those would be, you know, the thingsthe commodity price issues that were having around the world due to the war in ukraine and the fallout from that, and also just all of the supply-side things that are still pushing upward on inflation. so thats really how i thinkhow i think about it."
"2022-06-15","i think its certainly in the range of plausible numbers. i think well know when we get there really. i mean, honestly, though, that would beyou would have positive real rates, i think, and inflation coming down by then. i think youd have positive real rates across the [yield] curve. i think that the neutral rate is pretty low these days. so i would think it would, but you know what? were going to find that out empirically. were not going to be completely model driven about this. were going to be looking at this, keeping our eyes open, and reacting to incoming data both on financial conditions and on whats happening in the economy."
"2022-06-15","so if you look at a broad range of inflation expectationsso youve got the public, youve got surveys of the public and of experts, and youve also got market based. and i think if you look across that broad range of data, what you see is that expectations are still in the place, very much in the place, where short-term inflation is going to be high but comes down sharply over the next couple of years. and thats really where inflation expectations are. and also, as you get away from this episode, they get back down close to 2 percent. and so this is really very important to usthat that remain the case. and i think if you look for most measures, most of the time, thats what you see. if we even see a couple of indicators that bring that into question, we take that very seriously. we do not take this for grantedwe take it very seriously. so the preliminary michigan [survey] readingits a preliminary reading; it might be revisednonetheless, it was quite eye-catching, and we noticed that. we also noticed that the index of common inflation expectations at the board has moved up after being pretty flat for a long time, so were watching that, and were thinking, this is something we need to take seriously. and that is one of the factors, as i mentionedone of the factors in our deciding to move ahead with 75 basis points today was what we saw in inflation expectations. were absolutely determined to keep them anchored at 2 percent. that was one of the reasonsthe other was just the cpi reading."
"2022-06-15","were going toill just say, were going to react to the incoming data and appropriately, i think. so i wouldnt want to put a number on what that might be. the main thing is to get rates up, and then pretty soon, well be in an area where werei think as you get closer to the end of the year, youre in a range where youve got restrictive policy, which is appropriate. forty-year highs in inflationwe think that policy is going to need to be restrictive, and we dont know how restrictive. so i think thats how well take it."
"2022-06-15","to take your second question first, yes. i mean, i think were again, were going, were resolved to take this on, but were going to be flexible in the implementation of it. sorryand your [first] question was [about] guidance. so, again, the overall exercise is that we try to beprovide as much clarity about our policy intentions as we can, because we think that makes monetary policy work better. theres always a tradeoff, because you have to live with that guidance, and so you do it, and it helps a lot of the time. i, frankly, think this year has been a demonstration of how well it can work. with us having really just done very little in the way of raising interest rates, financial conditions have tightened quite significantly through the expectations channel, as weve made it clear what our plans are. so i think thats been a very healthy thing to be happening. and i would hope that ourits always going to beany guidance that we give is always going to be subject to things working out about as we expect. and, in this particular situation, you know, were looking for something specific, and that is progress on inflation. we want to see progress. we want to seeinflation cant go down until it flattens out, and thats what were looking to see. and if we dont see that, then thats the kind of thing that willeven if we dont see progress for a longer period, that could cause us to react. but we will. soon enough, we will be seeing some progress at some point. and well react [as] appropriate to that, too. but i would like to think, though, that our guidance is still credible, but its always going to be conditional on what happens. this is an unusual situation, to get, you know, some data late in, during blackout, pretty close tovery close to our meeting. very unusual to [have] one that would actually change the outcome. so ive only seenin my 10-years-plus here at the fed, ive only seen something like that, even close to that, one or two times. so i dont think its something thatll come up a great deal."
"2022-06-15","the second part i didnt get."
"2022-06-15","right. so, what we want to see is a series of declining monthly readings for inflation, and wed like to see inflation headed down. but, you knowand right now, our policy rate is well below neutral, right? so, soon enough, well have our policy rate lets assume the world works out about like the sep says: the policy rate will be up where we think it should be. and then the question would be: do you slow down? does it make you youll be making these judgments about, is it appropriate now to slow downfrom 50 to 25, lets sayor speed up? so thats the kind of thinking well be doing, and, again, were lookingultimately, were not going to declare victory until we see a series of these, really see convincing evidence, compelling evidence, that inflation is coming down. and thats what i mean bythats what it would take for us to say, okay, we think this job is done. because we sawand, frankly, we saw last yearinflation came down over the course of the summer and then turned right around and went back up. so i think were going to be careful about declaring victory. but ouragain, the implementation of our policy is going to be flexible and sensitive to incoming data."
