"meeting_date","paragraph_text"
"2023-03-22","good afternoon. before discussing todays meeting, let me briefly address recent developments in the banking sector. in the past two weeks, serious difficulties at a small number of banks have emerged. history has shown that isolated banking problems, if left unaddressed, can undermine confidence in healthy banks and threaten the ability of the banking system as a whole to play its vital role in supporting the savings and credit needs of households and businesses. that is why, in response to these events, the federal reserve, working with the treasury department and the fdic, took decisive actions to protect the u. s. economy and to strengthen public confidence in our banking system. these actions demonstrate that all depositors savings and the banking system are safe. with the support of the treasury, the federal reserve board created the bank term funding program to ensure that banks that hold safe and liquid assets can, if needed, borrow reserves against those assets at par. this program, along with our long-standing discount window, is effectively meeting the unusual funding needs that some banks have faced and makes clear that ample liquidity in the system is available. our banking system is sound and resilient, with strong capital and liquidity. we will continue to closely monitor conditions in the banking system and are prepared to use all of our tools as needed to keep it safe and sound. in addition, we are committed to learning the lessons from this episode and to work to prevent episodesevents like this from happening again. turning to the broader economy and monetary policy: inflation remains too high, and the labor market continues to be very tight. my colleagues and i understand the hardship that high inflation is causing, and we remain strongly committed to bringing inflation back down to our 2 percent goal. price stability is the responsibility of the federal reserve. without price stability, the economy does not work for anyone. in particular, without price stability, we will not achieve a sustained period of longof strong labor market conditions that benefit all. the u. s. economy slowed significantly last year, with real gdp rising at a below-trend pace of 0. 9 percent. consumer spending appears to have picked up this quarter, although some of that strength may reflect the effects of swings in the weather across the turn of the year. in contrast, activity in the housing sector remains weak, largely reflecting higher mortgage rates. higher interest rates and slower output growth also appear to be weighing on business fixed investment. committee participants generally expect subdued growth to continue. as shown in our summary of economic projections, the median projection for real gdp growth stands at just 0. 4 percent this year and 1. 2 percent next year, well below the median estimate of the longer-run normal growth rate. and nearly all participants see the risks to gdp growth as weighted to the downside. yet the labor market remains extremely tight. job gains have picked up in recent months, with employment rising by an average of 351, 000 jobs per month over the last three months. the unemployment rate remained low in february at 3. 6 percent. the labor force participation rate has edged up in recent months, and wage growth has shown some signs of easing. however, with job vacancies still very high, labor demand substantially exceeds the supply of available workers. fomc participants expect supply and demand conditions in the labor market to come into better balance over time, easing upward pressures on wages and prices. the median unemployment rate projection in the sep rises to 4. 5 percent at the end of this year and 4. 6 percent at the end of next year. inflation remains well above our longer-run goal of 2 percent. over the 12 months ending in january, total pce prices rose 5. 4 percent; excluding the volatile food and energy categories. core pceexcluding those, core pce prices rose 4. 7 percent. in february, the 12-month change in the cpi came in at 6 percent, and the change in the core cpi was 5. 5 percent. inflation has moderated somewhat since the middle of last year, but the strength of these recent readings indicates that inflation pressures continue to run high. the median projection in the sep for total pce inflation is 3. 3 percent for this year, 2. 5 percent next year, and 2. 1 percent in 2025. the process of getting inflation back down to 2 percent has a long way to go and is likely to be bumpy. despite elevated inflation, longer-term inflation expectations appear to remain well anchored, as reflected in a broad range of surveys of households, businesses, and forecasters, as well as measures from financial markets. the feds monetary policy actions are guided by our mandate to promote maximum employment and stable prices for the american people. my colleagues and i are acutely aware that high inflation imposes significant hardship, as it erodes purchasing power, especially for those least able to meet the higher costs of essentials like food, housing, and transportation. we are highly attentive to the risks that high inflation poses to both sides of our mandate, and we are strongly committed to returning inflation to our 2 percent objective. at todays meeting, the committee raised the target range for the federal funds rate by ¼ percentage point, bringing the target range to 4¾ to 5 percent. and we are continuing the process of significantly reducing our securities holdings. since our previous fomc meeting, economic indicators have generally come in stronger than expected, demonstrating greater momentum in economic activity and inflation. we believe, however, that events in the banking system over the past two weeks are likely to result in tighter credit conditions for households and businesses, which would in turn affect economic outcomes. it is too soon to determine the extent of these effects and therefore too soon to tell how monetary policy should respond. as a result, we no longer state that we anticipate that ongoing rate increases will be appropriate to quell inflation; instead, we now anticipate that some additional policy firming may be appropriate. we will closely monitor incoming data and carefully assess the actual and expected effects of tighter credit conditions on economic activity, the labor market, and inflation, and our policy decisions will reflect that assessment. in our sep, each fomc participant wrote down an appropriate path for the federal funds rate based on what that participant judges to be the most likely scenario going forward. if the economy evolves as projected, the median participant projects that the appropriate level of the federal funds rate will be 5. 1 percent at the end of this year, 4. 3 percent at the end of 2024, and 3. 1 percent at the end of 2025. these are little changed from our december projections, reflecting offsetting factors. these projections are not a committee decision or plan; if the economy does not evolve as projected, the path for policy will adjust as appropriate to foster our maximum-employment and price-stability goals. we will continue to make our meeting decisions meeting by meeting, based on the totality of the vincoming data and their implications for the outlook for economic activity and inflation. we remain committed to bringing inflation back down to our 2 percent goal and to keep longer-term inflation expectations well anchored. reducing inflation is likely to require a period of below-trend growth and some softening in labor market conditions. restoring price stability is essential to set the stage for achieving maximum employment and stable prices over the longer run. to conclude, we understand that our actions affect communities, families, and businesses across the country. everything we do is in service to our public mission. we at the fed will do everything we can to achieve our maximum-employment and price-stability goals. thank you. i look forward to your questions."
"2023-03-22","thanks. so i, i guess our view is that the banking system is sound and its resilientits got strong capital [and] liquidity. we took powerful actions with [the] treasury and the fdic, which demonstrate that all depositors savings are safe and that the banking system is safe. deposit flows in the banking system have stabilized over the last week. and the last thing ill say is that weve undertakenwere undertaking a thorough internal review that will identify where we can strengthen supervision and regulation."
"2023-03-22","so we consideredwe did consider that in the days running up to the meeting, and you see the decision that we made, which ill say a couple things about. first, it was supported by a very strong consensus, and ill be happy to explain why. and, really, it is that the intermeeting data on inflation and the labor market came in stronger than expected and, really, before the recent events, we were clearly on track to continue with ongoing rate hikes. in fact, as of a couple of weeks ago, it looked like wed need to raise rates over the course of the year more than we had expected at the time of the sep in decemberat the time of the december meeting. we are committed to restoring price stability, and all of the evidence says that the public has confidence that we will do sothat well bring inflation down to 2 percent over time. it is important that we sustain that confidence with our actions as well as our words. so we also assess, as i mentioned, that the events of the last two weeks are likely to result in some tightening credit conditions for households and businesses and thereby weigh on demand, on the labor market, and on inflation. such a tightening in financial conditions would work in the same direction as rate tightening. in principle, as a matter of fact, you can think of it as being the equivalent of a rate hike or perhaps more than that; of course, its not possible to make that assessment today with any precision whatsoever. so our decision was to move ahead with the 25 basis point hike and to change our guidance, as i mentioned, from ongoing hikes to some, some additional hikes maybesome policy firming may be appropriate. so going forward, as i mentioned, in assessing the need for, for further hikes, well be focused as always on the incoming data and the evolving outlook and, in particular, on our assessment of the actual and expected effects of credit tightening."
"2023-03-22","no, i think its, its meant to refer to our policy rate. really, i would focus on, on the words may and some, as opposed to ongoing. ongoing. so we, we clearly werewhat we were doing there was taking onboard thetrying to reflect the uncertainty about what will happen. i mean, it, its possible that this will turn out to have very modest effectsthat these events will turn out to be very, very modest effects on the economy, in which case inflation will continue to be strongin which case, you know, the path will look might look different. its also possible that this potential tightening will contribute significant tightening in credit conditions over time and, in principle, if thatthat means that monetary policy may have less work to do. we simply dont know. so."
"2023-03-22","no. i mean, with our monetary policy, were, were really focused on macroeconomic outcomes. in particular, were focused on, on this potential credit tightening and what can that produce in the way of tighter credit conditions. i think when we think about the situation with the banks, were focused on ouron our financial stability tools, in particular our lending facilities, the debtsorry, the discount window, and also the new facility."
"2023-03-22","so, you know, we have just come from an fomc meeting and, you know, the people who write the minutes will be very carefully counting, but ill tell you what i heard. what i heard was significant number of people saying that they anticipated there would be some, some tightening of credit conditions and that would really have the same effects as, as our policies do, and that therefore they were including that in their assessment and that if that did turn out not to be the case, in principle you would need more rate hikes. so some people did reflect that in their fomcin their sep forecasts. i think there may also just have been remember, this is 12 days ago. you know, were trying to assess something that just is so recent and its peopleyou know, its very difficult, theres so much uncertainty. so december was a good place to start, and we wound up withwe wound up with very similar outcomes for december. and, you know, in a way, the earlythe data in the first partthe first five weeks of the intermeeting period pointed to stronger inflation and stronger labor markets. so that pointed to higher rates. and then this, this latter part kind ofthe possibility of credit conditions tightening really, really offset that, effectively."
"2023-03-22","you know, we know that we have other, other tools in effect, but no, we think our monetary policy tool works, and we think, you know, many, many banksour rate hikes were well telegraphed to the market, and many banks have managed to handle them."
"2023-03-22","the issue was really not about those specific banks, but about the risk of a contagion to, to other banks and to the financial markets more broadly. that was the issue."
"2023-03-22","so vice chair barr is, is of course leading that review. and hes responsible for it in his capacity as vice chair for supervision. wei realized, you know, right away that, that there was going to be a need for review. i mean, the question were all asking ourselves over that first weekend was, how did this happen? and so what we did was, early monday morning, we sat down and said, lets do this. and he, he was obviously going to lead it in his capacity. so i dontmy role was to announce it, and i get briefed on it, but im not involved in, in the work of it."
"2023-03-22","yes. i mean, what actually happened, howard, was i got the question 12 times, so itsmaybe its a feature, not a bug. but, so, but yeah, absolutely the samethe story is intact, so its really three parts, right? goods inflation has been coming down now for six months; its proceeding more slowly than we would have liked, but its certainly proceeding. housing services is, is really a matter of time passing. we continue to see the new leases being signed at much lower levels of inflation. so thats 44 percent of theof the core pce index, where youve got a story thats ongoing. where we didnt have in february, and we still dont have now, is a sign of progress in the nonhousing services sector. and that is, you know, thats just something that will have to come through softening demand and perhaps some softening in labor market conditions. we dont see that yet. and thats, thats of course 56 percent of the index. so the story is pretty much the same. i will say that the inflation data that we got, to your point, really pointed to stronger inflation."
