"meeting_date","paragraph_text"
"2025-06-18","good afternoon. my colleagues and i remain squarely focused on achieving our dual-mandate goals of maximum employment and stable prices for the benefit of the american people. despite elevated uncertainty, the economy is in a solid position. the unemployment rate remains low, and the labor market is at or near maximum employment. inflation has come down a great deal but has been running somewhat above our 2 percent longer- run objective. in support of our goals, today the federal open market committee decided to leave our policy interest rate unchanged. we believe that the current stance of monetary policy leaves us well positioned to respond in a timely way to potential economic developments. ill have more to say about monetary policy after briefly reviewing economic developments. following growth of 2. 5 percent last year, gdp was reported to have edged down in the first quarter, reflecting swings in net exports that were driven by businesses bringing in imports ahead of potential tariffs. this unusual swing has complicated gdp measurement. private domestic final purchases, or pdfp, as we call themwhich excludes net exports, inventory investment, and government spendinggrew at a solid 2. 5 percent rate. within pdfp, growth of consumer spending moderated, while investment in equipment and intangibles rebounded from weakness in the fourth quarter. surveys of households and businesses, however, report a decline in sentiment over recent months and elevated uncertainty about the economic outlook, largely reflecting trade policy concerns. it remains to be seen how these developments might affect future spending and investment. in our summary of economic projections, the median participant projects gdp to rise 1. 4 percent this year and 1. 6 percent next yearsomewhat slower than projected in march. in the labor market, conditions have remained solid. payroll job gains averaged 135, 000 per month over the past three months. the unemployment rate, at 4. 2 percent, remains low and has stayed in a narrow range for the past year. wage growth has continued to moderate while still outpacing inflation. overall, a wide set of indicators suggests that conditions in the labor market are broadly in balance and consistent with maximum employment. the labor market is not a source of significant inflationary pressures. the median projection for the unemployment rate in the sep is 4. 5 percent at the end of this year and next, a bit higher than projected in march. inflation has eased significantly from its highs in mid-2022 but remains somewhat elevated relative to our 2 percent longer-run goal. estimates based on the consumer price index and other data indicate that total pce prices rose 2. 3 percent over the 12 months ending in may and thatexcluding the volatile food and energy categoriescore pce prices rose 2. 6 percent. near-term measures of inflation expectations have moved up over recent months, as reflected in both market- and survey-based measures. respondents to surveys of consumers, businesses, and professional forecasters point to tariffs as the driving factor. beyond the next year or so, however, most measures of longer-term expectations remain consistent with our 2 percent inflation goal. the median projection in the sep for total pce inflation this year isis 3 percent, somewhat higher than projected in march. the median inflation projection falls to 2. 4 percent in 2026 and 2. 1 percent in 2027. our monetary policy actions are guided by our dual mandate to promote maximum employment and stable prices for the american people. at todays meeting, the committee decided to maintain the target range for the federal funds rate at 4¼ to 4½ percent and to continue reducing the size of our balance sheet. we will continue to determine the appropriate stance of monetary policy based on the incoming data, the evolving outlook, and the balance of risks. changes to trade, immigration, fiscal, and regulatory policies continue to evolve, and their effects on the economy remain uncertain. the effects of tariffs will depend, among other things, on their ultimate level. expectations of that level, and thus of the related economic effects, reached a peak in april and have since declined. even so, increases in tariffs this year are likely to push up prices and weigh on economic activity. the effects on inflation could be short livedreflecting a one-time shift in the price level. its also possible that the inflationary effects could instead be more persistent. avoiding that outcome will depend on the size of the tariff effects, on how long it takes for them to pass through fully into prices, and, ultimately, on keeping longer-term inflation expectations well anchored. our obligation is to keep longer-term inflation expectations well anchored and to prevent a one-time increase in the price level from becoming an ongoing inflation problem. as we act to meet that obligation, we will balance our maximum-employment and price-stability mandates, keeping in mind that, without price stability, we cannot achieve the long periods of strong labor market conditions that benefit all americans. we may find ourselves in the challenging scenario in which our dual-mandate goals are in tension. if that were to occur, we would consider how far the economy is from each goal and the potentially different time horizons over which those respective gaps would be anticipated to close. for the time being, we are well positioned to wait to learn more about the likely course of the economy before considering any adjustments to our policy stance. in our sep, fomc participants wrote down their individual assessments of an appropriate path for the federal funds rate, based on what each participant judges to be the most likely scenario going forward. the median projection projectsparticipantmedian participant projects that the appropriate level of the federal funds rate will be 3. 9 percent at the end of this year, the same as projected in march. the median projection declines to 3. 6 percent at the end of next year and to 3. 4 percent at the end of 2027, a little higher than the march projection. these individual forecasts are always subject to uncertainty, and, as i have noted, uncertainty is unusually elevated. and, of course, these projections are not a committee plan or decision. at this meeting, the committee continued its discussions as part of our five-year review of our monetary policy framework. we focused on issues related to assessing the risks and uncertainties that are relevant for monetary policy and the potential implications for policy strategy and communications. our review includes outreach and public events involving a wide range of parties, including fed listens events around the country and a research conference that we held last month. we are open to new ideas and critical feedback, and we will take on board lessons of the last five years in determining our findings. we intend to wrap up any modifications to our statement on longer-run goals and monetary policy strategy by late summer. after that, we will consider enhancements to our suite of communications tools, including the sep. the fed has been assigned two goals for monetary policy: maximum employment and stable prices. we remain committed to supporting maximum employment, bringing inflation sustainably to our 2 percent goal, and keeping longer-term inflation expectations well anchored. our success in delivering on these goals matters to all americans. we understand that our actions affect communities, families, and businesses across the country. everything we do is in service to our public mission. and we at the fed will do everything we can to achieve our maximum-employment and price-stability goals. thank you. i look forward to your questions."
"2025-06-18","so weve had three months of, of favorable inflation readings since the high readings of january and february, and thats, of course, highly welcome news. part of that just is that services, core servicesboth housing services and nonhousing services have really been grinding down toward levels that arethat are consistent with 2 percent inflation. so thats the good news. weve had goods inflation just moving up a bit, and, of course, we expectas youas you point out, we, we do expect to see more of that over the course of the summer. it takes some time for tariffs to work their way through the chain of distribution to the end consumer. a good example of that would be, goods being sold at retailers today may have been imported several months agobefore tariffs were imposedso were beginning to see some effects. and we do expect to see more of them over coming months. we dowe do also see price increases in some of the relevant categories like personal computers and audio-visual equipmentthings like that that are attributable to tariff increases. in addition, we look at surveys of businesses, and there, there are many of those. and, and, you, you do see a range of things, but, but many, many companies do expect toto, to put all orsome or all of the effect of tariffs through to the next, next person in thein the chain and, ultimately, to the consumer. todayyou know, the amount of thesethe, the amount of the tariff effects, the size of the tariff effects, their duration, and the time it will take are all highly uncertain. so that, that is why we think the appropriate thing to do is to hold where we are as we learn more, and we think our policy stance is, is in a good placewhere were well positioned to react to incoming developments."
"2025-06-18","so if you look at the forecast, you will see that people do generally expect inflation to move up and then to come back down. but we cant just assume that. of course, we dont know that, and, you know, our, our job is to make sureone of our jobsto make sure that a one-time increase in inflation doesnt turn into an inflation problem. and that, againthat will depend on the size of the effects, how long it takes for them to come in, and, and, ultimately, on, on keeping inflation expectations anchored."
"2025-06-18","so i would focus most on theon the nearer term. as you thinkas you get out to theto the later years, its hard toits hard for anybody to know where the economy is going. you didnt see people moving their longer-term, you know, estimate of the neutral rate, for example, at this meeting. soand those things are probably slow moving. so i thinki think if you look at whats happening here since marchthis is since march, right? you see a little slower growth, just a tiny tick up, one-tenth tick up, in, in unemployment, and you see inflation moving up three-tenths. and by the way, it wasit was a similar move from the december sep to the march. so thats what you see. you see the, the effects of tariffs. i think we learned in april, after the march meeting, that substantially higher tariffs were likely, and then since then, the estimates of where the tariffs will be have actually moved back down, although still at an elevated level. so were adapting in real time, and what you see is, you know, an, an accumulation of individual assessments."
"2025-06-18","so what we said was that uncertainty has, hasuncertainty about the economic outlook has diminished but remains elevated. many, many surveys say that. they do. soand, and, thatsthats actually a line from the tealbook, which you can see in five years. remember to check that. [laughter]"
"2025-06-18","nobut if you think of that, tariff uncertaintyuncertainty really peaked in april and since then has come down. and thatsthats really what thats just acknowledging. its diminished but still elevatedthat its uncertainty. so i think thats an accurate statement."
"2025-06-18","so we dowe do, of course, monitor all those things. i, i think if you look at the overall picture, you know, what youre seeing is 4. 2 percent unemployment and an economy thats growing at aat a rate hard to know, given the, the unusual flows in the first quarter. but it appears to be 1½, 2 percentmaybe a little better than that. sentiment has come up off of its very low levels. its stillits still depressed. so, you know, you canyou can point to thingsthe housing market is a longer-run problem and also a short-run problem. i dont think its indicative ofyou know, basically, the situation is, we have a longer-run shortage of housing, and we also have high rates right now. i think the best thing we can do for the housing market is to restore price stability in a sustainable way and, and create a strong labor market, and thats the best thing we can do for the housing market. you asked about the job marketagain, look at labor force participation. look at wages. look at job creation. theyre all at healthy levels now. i, i would say you can see perhaps a very, very slow continued cooling, but nothing thats troubling at this time. but, you know, we watch itwe watch it very, very carefully. so, overall, again, the current stance of monetary policy leaves us well positioned to respond in a timely way to economic developments, andfor nowand well be watching the data carefully."
"2025-06-18","so this is very much the conversation we had today and yesterday. there, there are many, many different scenariosmany combinations of scenarios where inflation does or doesnt prove out to be at the levels we think and where the labor market does or doesnt soften. and i think what, what you see people doing is looking ahead at a time of very high uncertainty and writing down what they think the most likely case is. no one holds these, these rate paths with a great deal of conviction, and everyone would agree that theyre all going to be data dependent. and thatyou can make a case for, for any of the rate paths, i think, that you see in, in the sep. and, you know, we do this once a quarter. itsits a hard thing to do at thisparticularly at this time. but it does reflectyou know, if you see somebody writing down, you know, a, a rate path that involves cuts, thats them saying, yes, i think we will get to a place, more likely than not, where cuts will be appropriate. and it could beit could be a joint probability of a number of possible outcomes. again, remember how much uncertainty we face, though."
"2025-06-18","so itsitsagain, its very, very hard to say when that will happen. we know that the time will come; it comecould come quickly. it could not come quickly. as long as the economy is solid, thoughas long as were seeing the kind of labor market that we have and reasonably decent growth and inflation moving down, we feel like the right thing to do is to be where we are, with where our policy stance is, and just learn more. and in particular, we feel like were going to learn a great deal more over the summer on tariffs. we dowe hadnt expected them to show up much by now, and they havent, and we will see whetherthe extent to which they do over, over coming months. and i think thats going to inform our thinking, for one thing. in addition, well see how the labor market progresses. so, at some point, it will become clear. i cant tell you exactly when that will be. and, you know, meanwhile, well be watching, watching the labor market very carefully for signs of weakness and strength and tariffs for signs of, of whats going to happen there. and, of course, there are many developments ahead, you know, even in the near termdevelopments are expected on tariffs. so i think we, we dont yet know with any confidence where they will settle out. we have an estimate, and its a prettyi think all estimates are now pretty close together. but its its, yeah, highly uncertain."
"2025-06-18","yeah, what you start with is, iswhats the effective tariff rate overall? and people are managing to that. but, you know, the, the pass-through of tariffs to consumer price inflation is a whole process thats very uncertain. you know, as you know, there are many parties in that chain: theres the manufacturer, the exporter, the importer, the retailer, and the consumer, and each one of those is going to be trying not to be the one to, to pay for the tariff. but together, they will all pay for it togetheror maybe one party will pay it all. but that process is very hard to predict, and we havent been through a situation like this, and i think we have to be humble about our ability to forecast it. so thats why we need to see some actual data to haveto make better decisions. we, wed like to get some, some more data, and, and, again, in the meantime, we can do that because the economy remains in solid condition."
