"meeting_date","paragraph_text"
"2021-06-16","good afternoon. at the federal reserve, we are strongly committed to achieving the monetary policy goals that congress has given us: maximum employment and price stability. today the federal open market committee kept interest rates near zero and maintained our asset purchases. these measures, along with our strong guidance on interest rates and on our balance sheet, will ensure that monetary policy will continue to deliver powerful support to the economy until the recovery is complete. widespread vaccinations, along with unprecedented fiscal policy actions, are also providing strong support to the recovery. indicators of economic activity and employment have continued to strengthen, and real gdp this year appears to be on track to post its fastest rate of increase in decades. much of this rapid growth reflects the continued bounceback in activity from depressed levels. the sectors most adversely affected by the pandemic remain weak but have shown improvement. household spending is rising at a rapid pace, boosted by the ongoing reopening of the economy, fiscal support, and accommodative financial conditions. the housing sector is strong, and business investment is increasing at a solid pace. in some industries, near- term supply constraints are restraining activity. forecasts from fomc participants for economic growth this year have been revised up since our march summary of economic projections. even so, the recovery is incomplete, and risks to the economic outlook remain. as with overall economic activity, conditions in the labor market have continued to improve, although the pace of improvement has been uneven. employment rose 419, 000 per month, on average, in april and may, with the leisure and hospitality sector continuing to post notable gains. employment in this sector and the economy as a whole remains well below pre- pandemic levels. the unemployment rate remained elevated in may at 5. 8 percent, and this figure understates the shortfall in employment, particularly as participation in the labor market has not moved up from the low rates that have prevailed for most of the past year. factors related to the pandemic, such as caregiving needs, ongoing fears of the virus, and unemployment insurance payments, appear to be weighing on employment growth. these factors should wane in coming months against a backdrop of rising vaccinations, leading to more rapid gains in employment. looking ahead, fomc participants project the labor market to continue to improve, with the median projection for the unemployment rate standing at 4. 5 percent at the end of this year and declining to 3. 5 percent by the end of 2023. the economic downturn has not fallen equally on all americans, and those least able to shoulder the burden have been hardest hit. in particular, despite progress, joblessness continues to fall disproportionately on lower-wage workers in the service sector and on african americans and hispanics. inflation has increased notably in recent months. the 12-month change in pce prices was 3. 6 percent in april and will likely remain elevated in coming months before moderating. part of the increase reflects the very low readings from early in the pandemic falling out of the calculation as well as the pass-through of past increases in oil prices to, to consumer energy prices. beyond these effects, we are also seeing upward pressure on prices from the rebound in spending as the economy continues to reopen, particularly as supply bottlenecks have limited how quickly production in some sectors can respond in the near term. these bottleneck effects have been larger than anticipated, and fomc participants have revised up their projections for, for inflation notably for this year. as these transitory supply effects abate, inflation is expected to drop back toward our longer-run goal, and the median inflation projection falls from 3. 4 percent this year to 2. 1 percent next year and 2. 2 percent in 2023. the process of reopening the economy is unprecedented, as was the shutdown at the onset of the pandemic. as the reopening continues, shifts in demand can be large and rapid, and bottlenecks, hiring difficulties, and other constraints could continue to limit how quickly supply can adjust, raising the possibility that inflation could turn out to be higher and more persistent than we expect. our new framework for monetary policy emphasizes the importance of having well-anchored inflation expectations, both to foster price stability and to enhance our ability to promote our broad-based and inclusive maximum-employment goal. indicators of longer-term inflation expectations have generally reversed the declines seen earlier in the pandemic and have moved into a range that appears broadly consistent with our longer-run inflation goal of 2 percent. if we saw signs that the path of inflation or longer-term inflation expectations were moving materially and persistently beyond levels consistent with our goal, wed be prepared to adjust the stance of monetary policy. the pandemic continues to pose risks to the economic outlook. progress on vaccinations has limited the spread of covid-19 and will likely continue to reduce the effects of the public health crisis on the economy. however, the pace of vaccinations has slowed, and new strains of the virus remain a risk. continued progress on vaccinations will support a return to more normal economic conditions. the feds policy actions have been guided by our mandate to promote maximum employment and stable prices for the american people, along with our responsibilities to promote the stability of the financial system. as the committee reiterated in todays policy statement, with inflation having run persistently below 2 percent, we will aim to achieve inflation moderately above 2 percent for some time so that inflation averages 2 percent over time and longer-term inflation expectations remain well anchored at 2 percent. we expect to maintain an accommodative stance of monetary policy until these employment and inflation outcomes are achieved. with regard to interest rates, we continue to expect that it will be appropriate to maintain the current 0 to ¼ percent target range for the federal funds rate until labor market conditions have reached levels consistent with the committees assessment of maximum employment and inflation has risen to 2 percent and is on track to moderately exceed 2 percent for some time. as is evident in the sep, many participants forecast that these favorable economic conditions will be met somewhat sooner than previously projected; the median projection for the appropriate level of the federal funds rate now lies above the effective lower bound in 2023. of course, these projections do not represent a committee decision or plan, and no one knows with any certainty where the economy will be a couple of years from now. more important than any forecast is the fact that, whenever liftoff comes, policy will remain highly accommodative. reaching the conditions for liftoff will mainly signal that the recovery is strong and no longer requires holding rates near zero. in addition, we are continuing to increasecontinuing to increase our holdings of treasury securities by at least $80 billion per month and of agency mortgage-backed securities by at least $40 billion per month until substantial further progress has been made toward our maximum-employment and price-stability goals. the increase in our balance sheet since march 2020 has materially eased financial conditions and is providing substantial support to the economy. at our meeting that concluded earlier today, the committee had a discussion on the progress made toward our goals since the committee adopted its asset purchase guidance last december. while reaching the standard of substantial further progress is still a ways off, participants expect that progress will continue. in coming meetings, the committee will continue to assess the economys progress toward our goals. as we have said, we will provide advance notice before announcing any decision to make changes to our purchases. on a final note, we made a technical adjustment today to the federal reserves administered rates. the ioer and overnight rrp rates were adjusted upward by 5 basis points in order to keep the federal funds rate well within the target range and to support smooth functioning in money markets. this technical adjustment has no bearing on the appropriate path for the federal funds rate or stance of monetary policy. to conclude, we understand that our actions affect communities, families, and businesses across the country. everything we do is in service to our public mission. we at the fed will do everything we can to support the economy for as long as it takes to complete the recovery. thank you. i look forward to your questions."
"2021-06-16","thank you. so i would say, if you look at the labor market and you look at the demand for workers and the level of job creation and think ahead, i think its clear, and i am confident, that we are on a path to a very strong labor marketa labor market that, that shows low unemployment, high participation, rising wages for people across the spectrum. i mean, i think thats, thats shown in our projections, its shown in outside projections. and if you look through the current time frame and think one and two years out, were going to be looking at a very, very strong labor market. in terms of exactly what that means, well, well have to see how things evolve. i think we learned during the course of the last very long expansion, the longest in our history, that labor supply during a long expansion can exceed expectations, can move above its estimated trend. and, and i have no reason to think that that wont happen again. at the same time, we have seenin terms of participation, weve seen a significant number of, of people retire. and so we, we dont actually know exactly what labor force participation will be as we go forward, but i, i would tend to, to look at it and think that itthat it can return to high levels, although it may take some time to do that. but overall, this isthis is going to be, you know, a very strong labor market. in terms of the near term, you ask as wellso we see a couple of things, a few things that seem likely to be holding back labor supply. there are very large amounts of job openings, and there are a very large number of people who, who are unemployed. and the pace of, of filling those jobs issomehow feels slower than it might be. so id point to a number of things, the first of which is just that most of the, the act of sort of going back to ones old jobthats kind of already happened. so this is a question of people finding a new job. and thats just a process that takes longer. there may be something of a speed limit on it. youve got to find a job where, where your skills match what, you know, what, what the employer wants. its got to be in the right area. theres just a lot that goes into the function of finding a job. so thats, thats sort of a natural thing. in addition, i would say that we, we look at, for example, a, a significant number of people still say that theyre concerned about going back to work in jobs where theres a lot of public facing because ofbecause of covid. so thats clearly holding back some people, and that should diminish as vaccinations move ahead. theres also the question of childcare. many are engaged in, in caretaking. and as schools reopen and, and, and childcare/daycare centers open in the fallin the fall, then we should seewe should see that supporting labor force participation by caretakers. finally, unemployment insurance for something like 15 million people will either end or be diminished as we move through the summer and into, into, into the fall by the end of september, and id like somethat may also encourage some to go back in and take jobs. so you would think that that would add to an increase in job creation as well. so you put all those together, i would expect that we would see strong job creation building up over the summer and going intogoing into the fall. i will also say, though, the last thing ill say is, this is an extraordinarily unusual time. and we, we really dont have a template or, or, you know, any experience of, of a situation like this. and so i think we have to be humble about our ability to understand the data. its not a time to try to reach hard conclusions about the labor market, about inflation, about the path of policy. we need to see more data. we need to be a little bit patient. and i do think, though, that well, well, well be seeing some things coming up in coming months that willthat will inform our, our thinking."
"2021-06-16","so inflation has come in above expectations over the last few months. but if you look behind the headline numbers, youll see that the incoming data are, are consistent with the view that pricesthat prices that are driving that higher inflation are from categories that are being directly affected by the recovery from the pandemic and the reopening of the economy. so, for example, the experience with, with lumber prices is, is illustrative of this. the thought is that prices like that that have moved up really quickly because of the shortages and bottlenecks and the like, they should stop going up, and at some point, they, they, in some cases, should actually go down. and we did see that in the case of lumber. another example where we havent seen that yet is prices for used cars, which accounted for more than a third of the total increase in core inflation. used car prices are going up because of sort of a perfect storm of very strong demand and limited supply. its going up at just an amazing annual rate. but we do think that it makes sense that that would stop, and that in fact it would reverse over time. so we think well be seeing some of that. when will we be seeing it? were not sure. that narrative seems, still seems quite likely to prove correct, although, you know, as i pointed out at the last press conference, the, the timing of that is, is pretty uncertain, and so are the, the effects in the near term. but over time, it seems likely that these very specific things that are driving up inflation will bewill be temporary. and well be, you know, were going to be looking. well be looking at the monthly pricing data. ill, ill also say that the labor market is going to be important, both for the maximum- employment goal, but also for inflation. and well be looking at that. and, and as ias i mentioned, we expect and i expect that well see increases in supply over coming months as the factors that we believe have been suppressing supply abate, wane, move down. so i, i cant give you an exact number or an exact time, but i would say that we do expect inflation to move down. if you look at theif you look at the forecast for 2021 andsorry, 2022 and 2023 among my colleagues on the, on the federal open market committee, you will see that people do expect inflation to move down meaningfully toward our goal. and i think the full range of, of, of inflation projections for 2023 falls between 2 and 2. 3 percent, which is consistent with ourwith our goals."
"2021-06-16","right. so i, i expect that well be able to say more about timing as we see more data. basically, theres not a lot of more light i cani can shed on that. but you can think of this meeting that we had as the talking about talking about meeting, if you like. and i now suggest that we retire that term, which haswhich has served its purpose well, i think. so committee participants were of the view that since we adopted that guidance in december, the economy has clearly made progress, although we are still a ways from our goal of substantial further progress. participants expect continued progress ahead toward that objective. and assuming that is the case, it will be appropriate to consider announcing a plan for reducing our asset purchases at a future meeting. so at coming meetings, the committee will continue to assess the economys progress toward our goals, and well give advance notice before announcing any decision. the timing, of course, ylan, will depend on the pace of that progress and not on any calendar."
"2021-06-16","so we, we do tend to look at the longer-term inflation expectations, because thats really, we think, what matters for, for inflation. so and, and, you know, the shorter-term ones do tend to move around based on, for example, gasoline prices. so youll see if gasoline prices were to spike, youll see the shorter-term inflation expectation measures, particularly the surveys, move up. and, and thats, thats maybe not a good signal for future inflation if, if gas happens to spike and then go back down again. so weyes, i think if, if you look at the broad range of longer-term inflation expectations, theyve moved up. they moved down during the beginning of the pandemic, you know, sort of further exacerbating concerns that we might find ourselves where, for example, the ecb and the bank of japan have been, where you have expectations and inflation itself sliding down and you have a really hard time stopping that process once it begins. so that was a concern. so its, its good, actually, to see inflationlonger-term inflation expectations move back up to a rangeits a range thats consistent with what our objectives are. these are not precise measures, and thatsand they, they contain risk premiums of various kinds. and thats why we look at a broad range of them and tend to look at the movement of that broad range of, of, of indicators, which are from, you know, surveys of economists, surveys of the public, and also market based. its, its, its a wide index, as im sure you know. we look at that, and we see them back in the range where they were. and, by the way, theyve been broadly higher than that, somewhat modestly higher than that, not so many years ago, at a time when inflation was, was, was still anchored at around 2 percent or maybe even a little bit below. so the answer is, yes, i think they are anchored and theyre at a good place right now. its gratifying to see them having moved up off of their pandemic lows. and, you know, as you know, its, its fundamental in our framework, our new framework, to, to assure that inflationlonger-term inflation expectations are anchored at a place that is consistent with our goal. we, we think thats an important reason. if, if inflation expectations are not anchored at a place thats consistent with your goal, its not clear why you would expect to hit your goal over the longer term. so its important."
"2021-06-16","on your first question, the judgment of when we have arrived at substantial further progress is one that the committee will make. and it would not be appropriate for me to lay out particular numbers that do or do notthat do or do not qualify. that isthat is, you know, the process that were beginning now at the next meeting. we will begin, meeting by meeting, to, to assess that progress and talk about what wewhat we think were seeing and, and just do all of the things that you do to sort of clarify your thinking around the process of deciding whether and how to adjust the pace and composition of asset purchases. in terms of the, the, the two hikesso let me say a couple things first of all, not for the first time, about theabout the dot plot. these are, of course, individual projections. theyre not a committee forecast, theyre not a plan. and we did not actually have a discussion of whether liftoff is appropriate at any particular year, because discussing liftoff now would be would be highly premature, wouldnt make any sense. if you look at the transcripts from five years ago, youll see that sometimes people mention their rate path in their interventions. often they dont. and the last thing to say is, the dots are not a great forecaster of, of future rate moves. and thats not becauseits just because its so highly uncertain. there is no great forecaster of, of future dots. so, so dots to be taken with awith a big, big grain of salt. however, so let me talk about this, this, this meeting. the committee spelled out, as you know, in our fomc statements the conditions that it expects to see before an adjustment in the target range is made. and its outcome based, its not time based. and, as i mentioned, its labor market conditions consistent with maximum employment, inflation at 2 percent and on track to exceed 2 percent. in the projections, it gives some sense of how participants see the economy evolving in their most likely case. and, honestly, the main message i would take away from the sep is that participantsmany, many participants are more comfortable that the economic conditions in the committees forward guidance will be met somewhat sooner than previously anticipated. and that would be a welcome development. if such outcomes materialize, it means the economy will have made faster progress toward our goals. so the other thing ill say is, rate increases are really not at all the focus of the committee. the focus of the committee is the current state of the economy. but in terms of our tools, its about asset purchases. thats what were thinking about. liftoff is, is well into the future. the conditions for liftoffwere very far from maximum employment, for example. its, its a consideration for the future. so the near-term thing is reallythe real near-term discussion, discussion that will begin is really about the, the path of asset purchases. and, as i mentioned, we had a discussion about that today and expect to, in future meetings, continue to think about our progress."
"2021-06-16","you know, so as part of our year-and-a-half-long process, the review that we did and came out with at the end of that with thewith the new statement on longer- run goals and monetary policy strategy, we looked carefully at the idea. weve all read all the literature around different formulas for makeup and things like that. and we concludedand, you know, i strongly agreethat its not wise to, to wed yourself to a particular formulation of that. so we did adopt a discretionarytheres an element of discretion in it. you know, it says that we will seek toseek inflation that runs moderately above 2 percent for some time. and its, its meant to create a broad sense that we want inflation to average 2 percent over time. and that under the oldunder the old formula, under the old framework, what was happening was, 2 percent was a ceiling because all of the errors were below. you were always getting back to 2 percent. so you were bouncing back and forth between 1½ and 2, and we wanted them to be centered around 2. so, so thats, thats the approach that were taking. and youre right, its notits not a formulaic approach. we were clear on that when we announced the framework. was there another part of your question, craig?"
"2021-06-16","so on theon the facility, we think its doing its job. we think its doingthe reverse repo facility is, is doing what its supposed to do, which is to provide a floor under money market rates and keep the federal funds rate well within itswell within its range. so were not concerned with it. its doingyou have an unusual situation where the treasury general account is, is shrinking and bill supply is shrinking. and so theres, theres downward pressurewere buying assetstheres downward pressure on short-term rates, and that facility is, is doing what we think its supposed to do. sorry, your second question was again?"
"2021-06-16","it could have some impact. i think well have to see empirically. but its designed to keep the federal funds rate, you know, within the range. and i do think it could have some effect on, on broader money market conditions below as it relates to, you know, the very low rates and the downward pressures."
"2021-06-16","its not, honestly. and, you know, the funny thing, you would think that it would, but well have to see. its, its possible that that would not be the case. thats going to be an empirical question."
