"meeting_date","paragraph_text"
"2021-07-28","good afternoon. at the federal reserve, we are strongly committed to achieving the monetary policy goals that congress has given us: maximum employment and price stability. today the federal open market committee kept interest rates near zero and maintained our asset purchases. these measures, along with our strong guidance on interest rates and on our balance sheet, will ensure that monetary policy will continue to support the economy until the recovery is complete. progress in vaccinations and unprecedented fiscal policy actions are also providing strong support to the recovery. indicators of economic activity and employment have continued to strengthen, and real gdp this year appears to be on track to post its fastest rate of increase in decades. much of this rapid growth reflects the continued bounceback in activity from depressed levels. the sectors most adversely affected by the pandemic have shown improvement but have not fully recovered. household spending is rising at an especially rapid pace, boosted by the ongoing reopening of the economy and ongoing policy support. the housing sector remains very strong, and business investment is increasing at a solid pace. in some industries, near-term supply constraints are restraining activity. these constraints are particularly acute in the motor vehicle industry, where worldwide shortages of semiconductors have sharply curtailed production so far this year. as with overall economic activity, conditions in the labor market have continued to improve. demand for labor is very strong, and employment rose 850, 000 in june, with the leisure and hospitality sector continuing to post notable gains. nonetheless, the labor market has a ways to go. the unemployment rate in junein june was 5. 9 percent, and this figure understates the shortfall in employment, particularly as participation in the labor market has not moved up from the low rates that have prevailed for most of the past year. factors related to the pandemic, such as caregiving needs, ongoing fears of the virus, and unemployment insurance payments, appear to be weighing on employment growth. these factors should wane in coming months, leading to strong gains in employment. the economic downturn has not fallen equally on all americans, and those least able to shoulder the burden have been hardest hit. in particular, despite progress, joblessness continues to fall disproportionately on lower-wage workers in the service sector and on african americans and hispanics. inflation has increased notably and will likely remain elevated in coming months before moderating. as the economy continues to reopen and spending rebounds, we are seeing upward pressure on prices, particularly because supply bottlenecks in some sectors have limited how quickly production can respond in the near term. these bottleneck effects have been larger than anticipated, but as these transitory supply effects abate, inflation is expected to drop back toward our longer-run goal. very low readings from early in the pandemic as well as the pass-through of past increases in oil prices to consumer energy prices also contribute to the increase, although these base effects and energy effects are receding. the process of reopening the economy is unprecedented, as was the shutdown at the onset of the pandemic. as the reopening continues, bottlenecks, hiring difficulties, and other constraints could continue to limit how quickly supply can adjust, raising the possibility that inflation could turn out to be higher and more persistent than we expect. our new framework for monetary policy emphasizes the importance of having well-anchored inflation expectations, both to, to foster price stability and to enhance our ability to promote our broad-based and inclusive maximum-employment goal. indicators of long-term inflation expectations appear broadly consistent with our longer- run inflation goal of 2 percent. if we saw signs that the path of inflation or longer-term inflation expectations were moving materially and persistently beyond levels consistent with our goal, wed be prepared to adjust the stance of policy. the effects of the pandemic on the economy have continued to diminish, but risks to the economic outlook remain. progress on vaccinations has limited the spread of covid-19. however, the pace of vaccinations has slowed, and the delta strain of the virus is spreading quickly in some areas. continued progress on vaccinations would support a return to more normal economic conditions. the feds policy actions have been guided by our mandate to promote maximum employment and stable prices for the american people, along with our responsibilities to promote the stability of the financial system. as the committee reiterated in todays policy statement, with inflation having run persistently below 2 percent, we will aim to achieve inflation moderately above 2 percent for some time so that inflation averages 2 percent over time and longer-term inflation expectations remain well anchored at 2 percent. we expect to maintain an accommodative stance of monetary policy until these employment and inflation outcomes are achieved. with regard to interest rates, we continue to expect that it will be appropriate to maintain the current 0 to ¼ percent target range for the federal funds rate until labor market conditions have reached levellevels consistent with the committees assessment of maximum employment and inflation has risen to 2 percent and is on track to moderately exceed 2 percent for some time. in addition, we are continuing tocontinuing to increase our holdings of treasury securities by at least $80 billion per month and of agency mbs by at least $40 billion per month until substantial further progress has been made toward our maximum-employment and price- stability goals. our asset purchases have been a critical tool. they helped preserve financial stability and market functioning early in the pandemic and since then have helped foster accommodative financial conditions to support the economy. at our meeting that concluded earlier today, the committee continued to discuss the progress made toward ourtoward our goals since the committee adopted its asset purchase guidance last december. we also reviewed some considerations around how our asset purchases might be adjusted, including their pace and composition, once economic conditions warrant a change. participants expect that the economy will continue to move toward our standard of substantial further progress. in coming meetings, the committee will again assess the economys progress toward our goals, and the timing of any change in the pace of our asset purchases will depend on the incoming data. as weve said, we will provide advance notice before making any changes to our purchases. on a final note, we announced the establishment of two standing repo facilities, a domestic one for primary dealers and additional banks and another for foreign and international monetary authorities. these facilities will serve as backstops in money markets to support the effective implementation of monetary policy and smooth market functioning. to conclude, we understand that our actions affect communities, families, and businesses across the country. everything we do is in service to our public mission. we at the fed will do everything we can to support the economy for as long as it takes to complete the recovery. thank you. i look forward to your questions."
"2021-07-28","great. thank you. so more detail on substantial further progress. so lets talk about the maximum-employment part of that. as you know, with maximum employmentunlike with, with price stability, where we can target a number of 2 percent on averagewith maximum employment, there isnt a single number that we can target. that the we monitor a broad range of, of, of data about different aspects of the labor market. theres unemployment, unemployment among different, different age groups, and such. theres participation. theres wages. theres all kinds of flow data. and we look at all of it to try to arrive at a picture of whatof what is maximum employment. so there isnti cant give you a, a, a set of numbersfor example, a numerical threshold like we used for a time back in 2012, i guess it was. we didnt do that here. what we said was substantial further progress toward our goals. and what we said was, we would keep, effectively, wedwe would give advance warning as weand, and, you know, more and more clarityas, as we move forward. and thats what were going to try to do. so what would substantial further progress be? id say we have some ground to cover on, on the labor market side. i think were, were some way away from, from having had substantial further progress with, with maxtoward the maximum-employment goal. i would want to see some strong job numbers. and, and thats, thats kind of the idea."
"2021-07-28","so inflation is running well above our 2 percent objective and has been for a few months and is expected to run up certainly above our objective for a few months before we believe itll, itll move back down toward our objective. the question whether weve met that objective formally is really one for the committee to make. i canti cant do that by myself. but its clear that, at this time, inflation is actually running above 2 percent. and, and, again, has been and will be, at least we expect it will, in coming months before returning down toward our target."
"2021-07-28","yes, yes. we can hear you."
"2021-07-28","so, as you know, were, were in a process now where what we said is that asat this meeting and in coming meetings, were going to be continuing to assess the economys progress toward our goals and give advance notice. well betry to provide additional clarity about our thinking, both in thein the postmeeting statement and in the minutes and in the public comments that people make. you know, our, our approach here has been to be as transparent as we can. we have not reached substantial further progress yet. so were, were not there, and we see our ways as having somewe see ourselves as having some ground to cover to get there. so thats what i would say. in terms ofin terms of, of covid and the delta strain, ill say a couple things. of course, it will have significant health consequences for many. and we need to keep that in mind before we startbefore we mention and move to the economic questions. this is arising cases in, in a number of parts of the country, and some forecasts are for them to rise quite significantly. well see. what weve seen, though, is with successive waves of, of covid over the past year and some months now, there has tended to be less economicless in the way of economic implications from each wave. and we will see whether that is the case with the delta variety. but its, you know, its aits certainly anot an unreasonable expectation. so it, it certainly is plausible if people would pull back from some activities because of the risk of infection. dining out, traveling, schools mightsome schools might not reopen. we may justwe may see economic effects from some of that, or it might weigh on, on the return to the labor market. some people might chooseagain, we, we dont have a strong sense of how that might work out, so well just be monitoring itmonitoring it carefully."
"2021-07-28","that, that would, again, be a question for the committee. but i would really say, the guidance that youre talking about is really the guidance to do with liftoff, right? thatswhat the guidance is for liftoff, we had to have labor market conditions consistent with full employment, inflation at 2 percent and on track to runto run moderately above 2 percent for some time. it really isnt relevant now. itbecause were reallywere looking at, at tapering asset purchases. were clearly a ways away from considering raising interest rates. its not something that, that is on our radar screen right now. you know, so when we get to that question, when we start to get to the question of, of liftoff, which, which we are not at all at now or near now, thats when well ask that question. that is when that, that will become a real question for us."
"2021-07-28","jeanna, im sorry. for the first 15 seconds of your question, you froze. could youcould you say that again? i apologize."
"2021-07-28","thanks. so its anits an important feature of this recovery is how uneven it is. and, in many cases, thats related to the fact that some countries have had little in the way of access to, to vaccines. and so theyre seeing significant outbreaks, and its weighing on economic activity, whereas other countriessuch as the united states, in particularare having a very strong rebound. and, and now europe is having a stronger rebound as well. so its a feature of our economy. now, how does it affect our policy? in, in a couple of ways, potentially. one just is that, in general, economiesand through financial markets and through tradeare, are deeply interconnected now. and so a stronger global economy will lead to more u. s. exports. and, and, you know, thatll help economic activity. to the extent the global economy is weak and the united states is strong, itllwell wind up, you know, well wind up exporting some of our demand through, through imports rather than having, having a lot of exports. thats one way. another way, though, is more on the risk side. and that is, as long as covid is running loose out there, as long as theres time and space for the development of new strains, no ones really finally safe. these, these strainstheres no reason they just cant keep coming and one, you know, one more powerful than the next. we dont know that. but thats, thats, thats certainly a plausible outcome. now, as, as vaccinations rise, we can nonetheless get back to our economic activity. but, you know, it, it is both the right thing to do and, and very much in our interest to make sure that vaccination happens broadly around the world, just for that reason."
"2021-07-28","sure. id be glad to. so if you look, again, if you look at the, the most recent inflation report, what you see is that it came in significantly higher than expected. but essentially all of the overshoot can be tied to a handful of categories. it isnt the kind of inflation thats spread broadly across the economy. its new, used, and rental cars. its airplane tickets. its hotels. and its a couple of other things. and each of those has a story attached to it that isthat is really about the reopening of the economy. so we look at that, and we think that those are temporary things because the, the supply side will respond. the economy will adapt. we have a very adaptive, adaptable, flexible economy and labor market. and its a reala real asset that we have. and so we think that inflation should move down over time. now, we dont have anymuch confidence, lets say, in the timing of that or the size of the effects in the near term. i would say, in the near term, that the, the, the risks to inflation are probably to the upside. i, i, i have some confidence in thein the medium term, that inflation will move back down. again, its hard to say when that will be. i, i, i will say, though, that, you know, weinflation is half of our mandate. price stability is half of our mandate. and if we were to see inflation moving up to levels persistently that werethat were above, significantly, materially above our goal and particularly if inflation expectations were to move up, we would use our tools to guide inflation back down to 2 percent. so we wont have an extended period of, of high inflation. we think that, that some of it will, will fall away naturally as the process of reopening the economy moves through. and it could take some time. in any case, we will use our tools over time as appropriate to make sure that we do have inflation that averages 2 percent over time."
"2021-07-28","well, so in terms of whats been happening in bond markets, i dont think theres a real consensus on, on what explains the moves between the last meeting and this meeting. weve seen the long-term yields go down significantly. some of it is a fall in real yields, which may have been connected tosome speculateconnected to sentiment around the, the spread of the delta variant and concern about growth. there was also some decline in inflation compensation, which has significantly reversed. and there, there are also so-called technical factors, which is where you put things that you cant quite explain. so i, i, i dont see in any of that that there is really anything that challenges the credibility of our framework, if, if thats really your question. we are committed to achieving 2 percent average inflation over time. what we said was that, in particular, when we see a very strong labor market, high levels of employment, low levels of unemployment, that wont be enough for us to raise interest rates until we see some inflation. of course, what we have today is kind of the opposite. weve got, you know, 7 or 8 million people, fewer people, at work than were at work before the pandemic. so were, you know, were, were a ways away from full maximum employment. but we have high inflation, so its kind of the opposite case. and we have towe have to deal with that. any central bank has to deal with that by looking at the inflation and asking whether it is broad based and likely to be persistent and, and, and whether inflation expectations are implicated in a way that, that could cause them to rise. so were monitoring that very carefully, and were prepared to use our tools as appropriate. but, again, i think ouri think our framework is pretty well understood. and, and i think the real test of it will be down the road when its time to think about raising interest rates and, and how we assess, assess that set of issues."
