"meeting_date","paragraph_text"
"2021-12-15","good afternoon. at the federal reserve, we are strongly committed to achieving the monetary policy goals that congress has given us: maximum employment and price stability. today, in support of these goals, the federal open market committee kept interest rates near zero and updated its assessment of the progress that the economy has made toward the criteria specified in the committees forward guidance for interest rates. in addition, in light of the strengthening labor market and elevated inflation pressures, we decided to speed up the reductions in our asset purchases. as i will explain, economic developments and changes in the outlook warrant this evolution of monetary policy, which will continue to provide appropriate support for the economy. economic activity is on track to expand at a robust pace this year, reflecting progress on vaccinations and the reopening of the economy. aggregate demand remains very strong, buoyed by fiscal and monetary policy support and the healthy financial positions of households and businesses. the rise in covid cases in recent weeks, along with the emergence of the omicron variant, pose[s] risks to the outlook. notwithstanding the effects of the virus and supply constraints, fomc participants continue to foresee rapid growth. as shown in our summary of economic projections (sep), the median projection for real gdp growth stands at 5. 5 percent this year and 4 percent next year. amid improving labor market conditions and very strong demand for workers, the economy has been making rapid progress toward maximum employment. job gains have been solid in recent months, averaging 378, 000 per month over the last three months. the unemployment rate has declined substantiallyfalling 6/10 of a percentage point since our last meeting and reaching 4. 2 percent in november. the recent improvements in labor market conditions have narrowed the differences in employment across groups, especially for workers at the lower end of the wage distribution, as well as for african americans and hispanics. labor force participation showed a welcome rise in novemberbut remains subdued, in part reflecting the aging of the population and retirements. in addition, some who otherwise would be seeking work report that they are out of the labor force because of factors related to the pandemic, including caregiving needs and ongoing concerns about the virus. at the same time, employers are having difficulties filling job openings, and wages are rising at their fastest pace in many years. how long the labor shortages will persist is unclear, particularly if additional waves of the virus occur. looking ahead, fomc participants project the labor market to continue to improve, with the median projection for the unemployment rate declining to 3. 5 percent by the end of the year. compared with the projections made in september, participants have revised their unemployment rate projections noticeably lower for this year and next. supply and demand imbalances related to the pandemic and [to] the reopening of the economy have continued to contribute to elevated levels of inflation. in particular, bottlenecks and supply constraints are limiting how quickly production can respond to higher demand in the near term. these problems have been larger and longer lasting than anticipated, exacerbated by waves of the virus. as a result, overall inflation is running well above our 2 percent longer-run goal and will likely continue to do so well into next year. while the drivers of higher inflation have been predominantly connected to the dislocations caused by the pandemic, price increases have now spread to a broader range of goods and services. wages have also risen briskly, but, thus far, wage growth has not been a major contributor to the elevated levels of inflation. we are attentive to the risks that persistent real wage growth in excess of productivity [growth] could put upward pressure on inflation. like most forecasters, we continue to expect inflation to decline to levels closer to our 2 percent longer-run goal by the end of next year. the median inflation projection of fomc participants falls from 5. 3 percent this year to 2. 6 percent next year; this trajectory is notably higher than projected in september. we understand that high inflation imposes significant hardship, especially on those least able to meet the higher costs of essentials like food, housing, and transportation. we are committed to our price-stability goal. we will use our tools both to support the economy and a strong labor market and to prevent higher inflation from becoming entrenched. we will be watching carefully to see whether the economy is evolving in line with expectations. the feds monetary policy actions have been guided by our mandate to promote maximum employment and stable prices for the american people. in support of these goals, the committee reaffirmed the 0 to ¼ percent target range for the federal funds rate. we also updated our assessment of the progress the economy has made toward the criteria specified in our forward guidance for the federal funds rate. with inflation having exceeded 2 percent for some time, the committee expects it will be appropriate to maintain this target range until labor market conditions have reached levels consistent with the committees assessments of maximum employment. all fomc participants forecast that this remaining test will be met next year. the median projection for the appropriate level of the federal funds rate is 0. 9 percent at the end of 2022, about ½ percentage point higher than projected in september. participants expect a gradual pace of policy firming, with the level of the federal funds rate generally near estimates of its longer-run level by the end of 2024. of course, these projections do not represent a committee decision or plan, and no one knows with any certainty where the economy will be a year or more from now. at todays meeting, the committee also decided to double the pace of reductions in its asset purchases. beginning in mid-january, we will reduce the monthly pace of our net asset purchases by $20 billion for treasury securities and $10 billion for agency mortgage-backed securities. if the economy evolves broadly as expected, similar reductions in the pace of net asset purchases will likely be appropriate each month, implying that increases in our securities holdings would cease by mid-marcha few months sooner than we anticipated in early november. we are phasing out our purchases more rapidly because, with elevated inflation pressures and a rapidly strengthening labor market, the economy no longer needs increasing amounts of policy support. in addition, a quicker conclusion of our asset purchases will better position policy to address the full range of plausible economic outcomes. we remain prepared to adjust the pace of purchases if warranted by changes in the economic outlook. and, even after our balance sheet stops expanding, our holdings of securities will continue to foster accommodative financial conditions. to conclude: we understand that our actions affect communities, families, and businesses across the country. everything we do is in service to our public mission. we at the fed will do everything we can to complete the recovery in employment and achieve our price- stability goal. thank you. i look forward to your questions."
"2021-12-15","so maximum employment, if you look at our statement on longer- run goals and monetary policy strategy, maximum employment is something that we look at a broad range of indicators. and those would include, of course, things like the unemployment rate, the labor force participation rate, job openings, wages, flows in and out of the labor force in various parts of the labor force. wed also tend to look broadly and inclusively at different demographic groups and not just at the headline and aggregate numbers. so thats athats a judgment for the committee to make. the committee will make a judgment that weve achieved labor market conditions consistent with maximum employment when it makes thatit is, admittedly, a judgment call because its a range of factors. unlike inflation, where we have one number that sort of dominates, its a broad range of things. so, as i mentioned in my opening remarks, in my view, we are making rapid progress toward maximum employment. and you see that, of course, in some of the factors that i mentioned."
"2021-12-15","so, on the first part of your question, which is, why not stop purchasing now? , i would just say this: weve learned that, in dealing with balance sheet issues, weve learned that its best to take a careful sort of methodical approach to make adjustments. markets can be sensitive to it. and we thought that this wasthis was a doubling of the speed. were basically two meetings away now from finishing the taper. and we thought that was the appropriate way to go. so we announced it, and thats what will happen. you know, the question of long and variable lags is, is an interesting one. thats, thats milton friedmans famous statement. and i do think that in this world, where everything is where the global financial markets are connected together, financial conditions can change very quickly. and my own sense is that they get intofinancial conditions affect the economy fairly rapidly, longer than the traditional thought of, you know, a year or 18 months. shorter than that, rather. but in addition, when we communicate about what were going to do, the markets move immediately [in response] to that. so financial conditions are changing to reflect, you know, the forecasts that we made and basically, which was, i think, fairly in line with what markets were expecting. but financial conditions dont wait to change until, until things actually happen. they, they change on the expectation of things happening. so i dont think its a question of having to wait."
"2021-12-15","yes. the sense of that, of course, being that buying assets is adding accommodation and raising rates is removing accommodation. since were two meetings away from completing the taper, assuming things go as, as expected, i think if we wanted to lift off before then, then, then what weyou would stop the taper potentially sooner. but its not something i expect to happen. but i doi do not think it would be appropriate, and weand we dont find ourselves in a situation where wewhere we might have to raise rates while were still purchasing assets."
"2021-12-15","so we, we havent made any decision of that nature. and so, no, i wouldnt say thats our position at all. we really havent taken a position on that. i will say that we did talk todaywe had our first discussion about the balance sheet, for example. and we went through the waythe sequence of events regarding the runoff and that sort of thing with the balance sheet, last time. and i think people thought that was an interesting discussion. they thought that it was informative, but people pointed out that this is a significantly different economic situation that we have at the current time, and that thosethe differences that we see now would tend to influence how we think about the balance sheet. and the same thing would be true about raising rates. i donti dont foresee that there would be that kind of very extended wait at this time. the economy is so much stronger. i was here at the fed when we lifted off the last time. and the economy is so much stronger now, so much closer to full employment. inflation is running well above target, and growth is well above potential. there wouldnt be the need for that kind of long delay. having said that, iyou know, well make this decision in coming meetings, and its notits not a decision that the committee has really focused on yet."
"2021-12-15","right. so theyou know, the thing is, were not going back to the same economy we had in february of 2020. and i think early on, that wasthe sense was that thats where we were headed. the post-pandemic labor market, and the economy in general, will be different. and the maximum level of employment thats consistent with price stability evolves over time within awithin a business cycle and over a longer period, in part reflecting [the] evolution of the factors that affect labor supply, including those related to the pandemic. so i would say: look, were, were at 4. 2 percent now and its beenthe unemployment rate has been dropping very quickly. so were already in the vicinity of 4 percent. the way in whichthe important metric that has been disappointing really has been labor force participation, of course, where we had widely thoughti had certainly thought that, last fall, as unemployment insurance ran off, as vaccinations increased, [and] as schools reopened, that we would see a significant surge, if you will, or at least a surge, in labor force participation. so weve begun to see some improvement. we certainly welcome the 2/10 improvement that we got in the november report. but i do think that itsit feels likely now that the return to higher participation is going to take longer. and, in fact, thats, thats been the pattern in past cyclesthat labor force participation has tended to recover in the wake of a strong recovery in unemployment, which is what were getting right now. so youit could well have been that this cycle was different because of the short nature of it and the very strongthe number of job openings, for example, you would have thought that that would have pulled people back in. but, really, its the pandemic, its a range of factors. but the reality is, we dont have a strong labor force participation recovery yet, and we may not have it for some time. at the same time, we have to make policy now. and inflation is well above target. so this is something we need to take intotake into account."
"2021-12-15","so this isthis is not at all a decision that the committee has made. but youre really asking a question about how our framework works. and, yes, there is a theres a provision, it used to be called the balanced approach provision, that says, in effect, that in situations in which the pursuit of the maximum-employment goal and [the pursuit of] the price-stability goal are not complementary, we have to take account of the distance from the goal and theand the speed at which were approaching it. and so that is, in effect, an off-ramp which could, in concept, be taken and its in our framework, its been in our framework a long time. ive talked about it on a number of occasions. it, it is a provision that would enable us to, in this case, because of high inflation, move before achieving maximum employment. now, wereas i said, were making rapid progress toward maximum employment in myin my thinking, in my opinion. and i dont at all know that we willthat well have to invoke that, that paragraph. but just as a factual matter, that is part of our frameworkand has been, really, for a very long time."
"2021-12-15","well, i think theres a lot of uncertainty, which is why wewhy we called it out in our statement, our postmeeting statement, as a risk. itswe, we follow the same experts and iwe, we talk privately to the same experts that everyone else does and read the same articles in the paper and the same research and, you know, so theyou mentioned the early assessment is highly transmissible, perhaps not as severe, some continuing protection from, from existing vaccines and also existing immunity from having had the disease. thats a first draft. were a long way from knowing what it will turn out to be. it may well come to the united states and replace delta as the dominant variant fairly quickly. that could easily happen. i think theres another step there, thoughwhich is whats going to be the effect on the economy. and that will depend, you know, on how much it suppresses demand as opposed to suppressing supply. it is not clear how big the effects would be on either inflation or growth or hiring on top of whats already going on, which is quite a strong, you know, wave of delta thats hitting large parts of the country across the northern united states and all the way to the eastern seaboard and now coming down. were having quite a wave of delta. so coming in on top of that, again, its very difficult to say what the economic effects would be. i do think, wave upon wave, people are learning to live with this. more and more people are getting vaccinated. so [vaccinated] people who get the new variant, it affects them much less than it tends to affect, in the aggregate, people who are not vaccinated. so the more people get vaccinated, the less the economic effect. it doesnt mean it wont have an economic effect. delta had an effect of slowing down hiring. and it actuallyit had an effect on global supply chains. and that sort ofthat hurt the process of the global supply chains getting worked out. so it can have an economic effect. i just think, at this point, we dont know much. well know a whole lot more in three weeks, and well know more than that in six weeks."
"2021-12-15","yes. yes, look, i thinkif you look at the state of the economy and the amountthe strength of demand, the strength of just overall demand, and the strength of demand for labor, look at inflation, look at wages. i think moving, you know, moving forward the end of our taper by a few months is reallyis really an appropriate thing to do. and i think, really, omicron doesnt really have much to do with that."
"2021-12-15","sure. so i guess i would go back andyou know, its been a continual process, really. inflation really popped up, right? in the late spring last year. and we had a viewit was very, very widely held in the forecasting communitythat this would be temporary. it was quite narrow, you know, a limited number of factors were causing it. and there was a decent amount of evidence to support that view, that it would be temporary or transitory, as we said. certainly, we had five months of declining month on monthmonthly readings of inflation, but we didnt see much in the way of progress on labor supply or on other supply-side issues. then in september, id say after labor day, we started to seeit started to become clear that this was both larger in its effect on inflation and more persistent. and, of course, i said so on many occasions, and one of the consequences of that is that we move the taper forward. we moved the taper forward and weand its a much faster taper than had been planned. so weve been adaptingive been saying were adapting our policy. so coming to your real question, we got the eci reading on the eve of the november meetingit was the friday before the november meetingand it was very high, 5. 7 percent reading for the employment compensation index for the third quarter, not annualized, for the third quarter, just before the meeting. and i thought for a second there whether wewhether we should increase our taper, [we] decided to go ahead with what we hadwhat we had socialized. then, right after that, we got the next friday after the meeting, two days after the meeting, we got a very strong employment report and, you know, revisions to prior readings and, and no increase in labor supply. and the friday after that, we got the cpi, which was a very hot, high reading. and i, honestly, at that point, really decided that i thought we needed towe needed to look at, at speeding up the taper. and we went to work on that. so thats, thats really what happened. it was essentially higher inflation and fasterturns out much faster progress in the labor market. really, whats happening is the unemployment rate is catching upseems to be catching upwith a lot of the other readings of a tight labor market, 6/10 [decline] over one cycle. so thats really what happened and, you know, widely supported in the committee today, as you can seeunanimous votebut beyond that i think widely, widely supported, you know, this, this move."
