Date,Open,High,Low,Close,Volume,Volume_ratio_vs_5days,Announcement,hawkish_dovish_ratio,net_sentiment_score,negative_proportion,neutral_proportion,positive_proportion,sentiment_label
12/03/2018,2783.02001953125,2796.97998046875,2779.260009765625,2790.5400390625,3216960000,0.9692213413322455,0,0.0,0.0,0.0,0.0,0.0,
13/03/2018,2765.31005859375,2801.89990234375,2758.679931640625,2792.31005859375,3324290000,1.0054806619139367,0,0.0,0.0,0.0,0.0,0.0,
14/03/2018,2749.47998046875,2777.110107421875,2744.3798828125,2774.06005859375,3394630000,1.0275056466000234,0,0.0,0.0,0.0,0.0,0.0,
15/03/2018,2747.330078125,2763.030029296875,2741.469970703125,2754.27001953125,3543710000,1.0511430039284642,0,0.0,0.0,0.0,0.0,0.0,
16/03/2018,2752.010009765625,2761.85009765625,2749.969970703125,2750.570068359375,5429140000,1.435617304811058,0,0.0,0.0,0.0,0.0,0.0,
19/03/2018,2712.919921875,2741.3798828125,2694.590087890625,2741.3798828125,3327460000,0.8747620171794547,0,0.0,0.0,0.0,0.0,0.0,
20/03/2018,2716.93994140625,2724.219970703125,2710.050048828125,2715.050048828125,3272590000,0.8626821731664587,0,0.0,0.0,0.0,0.0,0.0,
21/03/2018,2711.929931640625,2739.139892578125,2709.7900390625,2714.989990234375,3434780000,0.9035242596676711,0,0.0,0.0,0.0,0.0,0.0,
22/03/2018,2643.68994140625,2695.679931640625,2641.590087890625,2691.360107421875,3765460000,0.979087783673255,0,0.0,0.0,0.0,0.0,0.0,
23/03/2018,2588.260009765625,2657.669921875,2585.889892578125,2646.7099609375,3829380000,1.0860611684733747,0,0.0,0.0,0.0,0.0,0.0,
26/03/2018,2658.550048828125,2661.360107421875,2601.81005859375,2619.35009765625,3538080000,0.9915982307462491,0,0.0,0.0,0.0,0.0,0.0,
27/03/2018,2612.6201171875,2674.780029296875,2596.1201171875,2667.570068359375,3761320000,1.0260559484358684,0,0.0,0.0,0.0,0.0,0.0,
28/03/2018,2605.0,2632.64990234375,2593.06005859375,2611.300048828125,3875720000,1.0324262811428473,0,0.0,0.0,0.0,0.0,0.0,
29/03/2018,2640.8701171875,2659.070068359375,2609.719970703125,2614.409912109375,3572360000,0.9615080266525129,0,0.0,0.0,0.0,0.0,0.0,
02/04/2018,2581.8798828125,2638.300048828125,2553.800048828125,2633.449951171875,3635780000,0.9888833645392602,0,0.0,0.0,0.0,0.0,0.0,
03/04/2018,2614.449951171875,2619.139892578125,2575.489990234375,2592.169921875,3395840000,0.9308251402607968,0,0.0,0.0,0.0,0.0,0.0,
04/04/2018,2644.68994140625,2649.860107421875,2573.610107421875,2584.0400390625,3369230000,0.9438184809957796,0,0.0,0.0,0.0,0.0,0.0,
05/04/2018,2662.840087890625,2672.080078125,2649.580078125,2657.360107421875,3230430000,0.9388797952061307,0,0.0,0.0,0.0,0.0,0.0,
06/04/2018,2604.469970703125,2656.8798828125,2586.27001953125,2645.820068359375,3312390000,0.9774712326196154,0,0.0,0.0,0.0,0.0,0.0,
09/04/2018,2613.159912109375,2653.550048828125,2610.7900390625,2617.179931640625,3076140000,0.9387617088103476,0,0.0,0.0,0.0,0.0,0.0,
