Strategy,Total Return (%),Win Rate (%),Sharpe Ratio,Max Drawdown (%),Profit Factor,Total Trades
Binary: Long/Short,15.904565388444002,75.0,6.81952226590565,-7.321590789099294,2.9742967581129744,8
Binary: Long Only,15.904565388444002,75.0,6.81952226590565,-7.321590789099294,2.9742967581129744,8
Multi-Class: Scaled,3.995688051220281,62.5,1.9167529262693053,-10.71208666917307,1.3127116670808532,8
Multi-Class: Binary,3.995688051220281,62.5,1.9167529262693053,-10.71208666917307,1.3127116670808532,8
